episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.83449615902826,48.29054967454462,49.08974613798167,1.0188404008316354,0.799196463437049,1.2748309676571628,0.010239602018408397,0.008032125260673859,0.009135863639541128,12.744750021046592,622,472,634,482,107,67,-965.1592482368854,0.9810725552050473,0.979253112033195,0.8279742765273312,0.8580508474576272,622,472,634,482,107,67,-953.7498290661201,0.9810725552050473,0.979253112033195,0.8279742765273312,0.8580508474576272,622,472,145,46,142,480,9,3,44,428,8,2,0.23817034700315456,0.1078838174273859,0.2282958199356913,0.09322033898305085,0.9793103448275862,0.9565217391304348,52,48,0.0018194431718523418,1.2748309676571628
2,99.5,199.0,199,61.83449615902826,62.983477358087654,49.08974613798167,49.96488787780568,1.148981199059392,0.8751417398240093,1.3129086944138348,0.010893575878849385,0.008413759815382203,0.009653667847115794,13.018589480281975,678,521,689,526,97,77,-578.629470984522,0.9840348330914369,0.9904942965779467,0.8569321533923304,0.8522072936660269,1300,993,1323,1008,204,144,-1494.8032869189112,0.982615268329554,0.9851190476190477,0.8430769230769231,0.8549848942598187,678,521,130,60,271,1029,19,4,104,889,13,2,0.21919879062736206,0.11607142857142858,0.20846153846153845,0.10473313192346426,0.9854545454545455,0.9811320754716981,38,30,-0.006459463486509831,1.2947334031253819
3,199.0,298.5,199,62.983477358087654,63.963570142680815,49.96488787780568,50.8472390235263,0.9800927845931611,0.8823511457206195,1.110774082797519,0.010545776832442844,0.0085651234471748,0.00955545013980882,13.116331119154516,625,536,636,553,111,92,-1821.077210308146,0.9827044025157232,0.969258589511754,0.8224,0.8283582089552239,1925,1529,1959,1561,315,236,-3305.8378812990322,0.9826442062276671,0.9795003203074952,0.8363636363636364,0.8456507521255723,625,536,140,58,410,1515,29,5,157,1372,25,7,0.22409392547217968,0.11659192825112108,0.21298701298701297,0.1026814911706998,0.9879518072289156,0.9573170731707317,52,43,0.013445813003969187,1.2312463325816232
4,298.5,398.0,199,63.963570142680815,65.07083004883049,50.8472390235263,51.722200143364695,1.1072599061496717,0.874961119838396,1.2654961243925684,0.010691392690034825,0.008622237358844407,0.009656815024439616,13.348629905465792,664,517,675,521,105,76,-1000.6010803516782,0.9837037037037037,0.9923224568138196,0.8418674698795181,0.8529980657640233,2589,2046,2634,2082,420,312,-4284.701107608088,0.9829157175398633,0.9827089337175793,0.8377752027809965,0.8475073313782991,664,517,145,64,549,2040,34,11,221,1825,29,7,0.22133637053910402,0.12007684918347743,0.21205098493626884,0.10801564027370479,0.9803571428571428,0.9692982456140351,53,30,-0.00861875311011584,1.2399789341298924
5,398.0,497.5,199,65.07083004883049,66.25726227554186,51.722200143364695,52.70769137816013,1.186432226711375,0.9854912347954325,1.2038993192645224,0.010937902547427608,0.008878676791186948,0.009908289669307277,13.549570897381734,690,570,698,577,101,80,-572.5868067177126,0.9885386819484241,0.9878682842287695,0.8536231884057971,0.8596491228070176,3279,2616,3332,2659,521,392,-4865.053351727955,0.984093637454982,0.9838285069575028,0.8411100945410186,0.8501529051987767,690,570,137,78,685,2594,41,12,299,2317,36,7,0.21788715486194477,0.12598721323805942,0.20890515401036902,0.11429663608562692,0.9827833572453372,0.9771241830065359,47,44,0.0006703977196546029,1.2319293521625505
6,497.5,597.0,199,66.25726227554186,67.33489763216261,52.70769137816013,53.63774863774321,1.0776353566207462,0.93005725958308,1.1586763562318965,0.010920003138971493,0.008956782182912204,0.009938392660941849,13.6971489944194,657,530,670,540,116,66,-957.4649471955435,0.9805970149253731,0.9814814814814815,0.8234398782343988,0.8754716981132076,3936,3146,4002,3199,637,458,-5795.116613502156,0.9835082458770614,0.9834323226008127,0.838160569105691,0.8544183089637635,657,530,155,55,836,3100,50,16,354,2792,46,7,0.22138930534732634,0.12503907471084713,0.21239837398373984,0.11252383979656706,0.9812206572769953,0.9806094182825484,51,42,-0.0008844665561084097,1.2191881990615705
7,597.0,696.5,199,67.33489763216261,68.51525041433226,53.63774863774321,54.49252435906701,1.1803527821696491,0.8547757213238043,1.3808917973730215,0.011054694409383533,0.008904486266363806,0.00997959033787367,14.022726055265245,696,515,707,523,106,88,-1368.537025678396,0.9844413012729845,0.9847036328871893,0.8477011494252873,0.829126213592233,4632,3661,4709,3722,743,546,-7199.819131946965,0.9836483329794011,0.9836109618484685,0.8395941278065631,0.8508604206500956,696,515,173,51,1004,3628,56,21,402,3259,51,10,0.22510087067317902,0.12170875873186458,0.21675302245250433,0.10980606391696258,0.9795121951219512,0.9757281553398058,55,30,-0.0002623316142048582,1.241474699235824
8,696.5,796.0,199,68.51525041433226,69.67481833256318,54.49252435906701,55.485881025913635,1.1595679182309198,0.9933566668466227,1.1673228327061307,0.011129601224078581,0.009039360994182177,0.01008448110913038,14.188937306649542,707,560,719,568,120,72,-972.6677777749185,0.9833101529902643,0.9859154929577465,0.8302687411598303,0.8714285714285714,5339,4221,5428,4290,863,618,-8136.666677067435,0.9836035372144436,0.9839160839160839,0.8383592433039895,0.8535891968727789,707,560,160,67,1161,4178,65,24,469,3752,59,10,0.22586588061901253,0.12307692307692308,0.21745645251919835,0.1111111111111111,0.979746835443038,0.9791231732776617,50,33,-0.0026053399674822453,1.2312376097427353
9,796.0,895.5,199,69.67481833256318,70.93781431812118,55.485881025913635,56.41971026735679,1.2629959855580069,0.9338292414431564,1.3524913651302568,0.011303359642573486,0.009077789606713757,0.010190574624643622,14.518104050764393,736,554,750,563,115,92,-1506.092860476323,0.9813333333333333,0.9840142095914742,0.84375,0.8339350180505415,6075,4775,6178,4853,978,710,-9672.650855600501,0.9833279378439624,0.9839274675458479,0.8390123456790124,0.8513089005235602,736,554,166,70,1325,4750,77,26,539,4236,68,10,0.2269342829394626,0.12507727179064496,0.21810699588477367,0.11287958115183246,0.9807549962990377,0.9817850637522769,48,55,-0.0026808762581409518,1.2451665143476933
10,895.5,995.0,199,70.93781431812118,72.28081971857318,56.41971026735679,57.396476527052464,1.3430054004520002,0.9767662596956725,1.3749506467089019,0.011522777849624681,0.009151685278902354,0.010337231564263517,14.88434319152072,783,537,797,547,108,63,11.418042941039417,0.9824341279799247,0.9817184643510055,0.8620689655172413,0.88268156424581,6858,5312,6975,5400,1086,773,-9661.861730500963,0.983225806451613,0.9837037037037037,0.8416447944007,0.854480421686747,783,537,183,48,1504,5354,87,30,586,4726,77,11,0.22810035842293908,0.12277777777777778,0.21930592009332167,0.11031626506024096,0.9804432855280313,0.981574539363484,57,36,0.000715663628919172,1.2590880803329716
