episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,60.98289936465856,48.29054967454462,48.386259536137025,0.16724360646193048,0.09570986159240391,1.747402030254361,0.0016808402659490502,0.000961908156707577,0.0013213742113283135,12.596639828521532,90,57,582,484,11,8,-4.5758475157435035,0.15463917525773196,0.11776859504132231,0.8777777777777778,0.8596491228070176,90,57,582,484,11,8,-4.5758475157435,0.15463917525773196,0.11776859504132231,0.8777777777777778,0.8596491228070176,90,57,120,56,16,74,388,104,10,47,381,46,0.6941580756013745,0.8078512396694215,0.17777777777777778,0.17543859649122806,0.13333333333333333,0.17857142857142858,5,3,0.036870580216409654,1.747402030254361
2,99.5,199.0,199,60.98289936465856,61.114481639159884,48.386259536137025,48.52267086341669,0.13158227450132642,0.1364113272796672,0.9645993270893085,0.0015016375927801855,0.0011664381350355332,0.0013340378639078595,12.591810775743191,82,79,574,520,10,8,63.54357577095678,0.14285714285714285,0.1519230769230769,0.8780487804878049,0.8987341772151899,172,136,1156,1004,21,16,53.06110605637889,0.14878892733564014,0.13545816733067728,0.877906976744186,0.8823529411764706,82,79,143,59,35,137,756,228,19,117,772,96,0.6842560553633218,0.7878486055776892,0.20348837209302326,0.13970588235294118,0.13307984790874525,0.16521739130434782,6,5,-0.009065934065934061,1.2873701122044
3,199.0,298.5,199,61.114481639159884,61.26526492003934,48.52267086341669,48.61460320465364,0.15078328087945891,0.09193234123694793,1.6401549101292612,0.001506228347881795,0.0010856064660268645,0.0012959174069543298,12.650661715385702,96,59,571,451,15,11,-263.2792308780973,0.1681260945709282,0.13082039911308205,0.84375,0.8135593220338984,268,195,1727,1455,36,27,-173.03123969413633,0.15518239722061378,0.13402061855670103,0.8656716417910448,0.8615384615384616,96,59,121,46,52,216,1127,332,26,169,1125,135,0.6826867400115808,0.7910652920962199,0.19402985074626866,0.13333333333333333,0.13541666666666666,0.16149068322981366,9,5,0.03730569545784615,1.387453368248934
4,298.5,398.0,199,61.26526492003934,61.421011284139965,48.61460320465364,48.7638204279712,0.15574636410062226,0.1492172233175566,1.0437559461160235,0.0015209937837772313,0.0011891224960466724,0.001355058139911952,12.657190856168768,93,87,595,445,10,7,181.15080018562472,0.15630252100840336,0.19550561797752808,0.8924731182795699,0.9195402298850575,361,282,2322,1900,46,34,3.675703962878245,0.15546942291128338,0.14842105263157895,0.8725761772853186,0.8794326241134752,93,87,136,55,72,289,1513,448,39,243,1441,177,0.6826012058570198,0.7789473684210526,0.1994459833795014,0.13829787234042554,0.13846153846153847,0.18055555555555555,9,10,-0.03920309696912472,1.2790892349895742
5,398.0,497.5,199,61.421011284139965,61.55473802372066,48.7638204279712,48.8551827995302,0.1337267395806947,0.09136237155900062,1.4636960194748856,0.0014855924935156437,0.001134940954744877,0.0013102667241302603,12.699555224190462,71,65,553,478,4,16,-118.01108610312842,0.12839059674502712,0.13598326359832635,0.9436619718309859,0.7538461538461538,432,347,2875,2378,50,50,-114.33538214025016,0.1502608695652174,0.14592094196804037,0.8842592592592593,0.8559077809798271,71,65,113,48,84,348,1894,549,44,303,1811,220,0.688,0.780067283431455,0.19444444444444445,0.12680115273775217,0.13270142180094788,0.16666666666666666,3,6,-0.007592666853299235,1.3089601598257503
6,497.5,597.0,199,61.55473802372066,61.68219739794023,48.8551827995302,48.98330954280348,0.1274593742195691,0.12812674327328466,0.994791336791476,0.001451493533908881,0.0011604017893783265,0.0013059476616436036,12.698887855136746,71,84,567,516,7,17,-162.46920434518114,0.12522045855379188,0.16279069767441862,0.9014084507042254,0.7976190476190477,503,431,3442,2894,57,67,-276.8045864854314,0.14613596746077862,0.1489288182446441,0.8866799204771372,0.8445475638051044,71,84,107,54,90,413,2289,650,50,381,2195,268,0.6911679256246368,0.7757429163787146,0.17892644135188868,0.11600928074245939,0.12162162162162163,0.15723270440251572,4,7,-0.037570239120626736,1.2508542706457768
7,597.0,696.5,199,61.68219739794023,61.79606203192909,48.98330954280348,49.085992052320485,0.11386463398886093,0.10268250951700253,1.1088999920673621,0.001407618483463694,0.001142056536648763,0.0012748375100562286,12.710069979608605,72,65,609,444,11,11,-126.51243214198756,0.11822660098522167,0.1463963963963964,0.8472222222222222,0.8307692307692307,575,496,4051,3338,68,78,-386.1926295567836,0.14194026166378673,0.14859197124026363,0.8817391304347826,0.842741935483871,72,65,117,39,98,477,2717,759,57,439,2542,300,0.6948901505801037,0.7786099460754943,0.17043478260869566,0.11491935483870967,0.11435239206534423,0.15966386554621848,4,4,-0.02816979541117473,1.232529597522547
8,696.5,796.0,199,61.79606203192909,61.92843013097732,49.085992052320485,49.19946594471289,0.13236809904822877,0.11347389239240613,1.1665070815627285,0.0013979577547496124,0.0011418546107641579,0.001269906182756885,12.728964186264427,80,68,625,440,12,8,-41.507365754638045,0.128,0.15454545454545454,0.85,0.8823529411764706,655,564,4676,3778,80,86,-427.6999953114218,0.14007698887938408,0.14928533615669667,0.8778625954198473,0.8475177304964538,80,68,128,43,118,537,3154,867,63,501,2877,337,0.699743370402053,0.7781895182636316,0.1801526717557252,0.11170212765957446,0.11979695431472082,0.1575,5,5,-0.02654545454545454,1.2242869990375256
9,796.0,895.5,199,61.92843013097732,62.041362250157924,49.19946594471289,49.2912961606852,0.11293211918060564,0.09183021597230834,1.229792590432986,0.0013687398011851448,0.0011175281810615052,0.001243133991123325,12.750066089472725,68,56,591,482,6,10,16.53121481550415,0.11505922165820642,0.11618257261410789,0.9117647058823529,0.8214285714285714,723,620,5267,4260,86,96,-413.1791943088097,0.13726979305107273,0.14553990610328638,0.8810511756569848,0.8451612903225807,68,56,125,50,130,593,3564,980,71,549,3261,379,0.7013480159483577,0.7821596244131456,0.1798063623789765,0.11451612903225807,0.11711711711711711,0.15777777777777777,5,7,-0.0011233509559014643,1.2247922015577464
10,895.5,995.0,199,62.041362250157924,62.16367637422308,49.2912961606852,49.370835890723725,0.12231412406515574,0.0795397300385261,1.5377739402171884,0.0013547945889713095,0.0010857147901297529,0.0012202546895505313,12.792840483499354,74,47,618,494,7,9,-67.58965771140925,0.11974110032362459,0.0951417004048583,0.9054054054054054,0.8085106382978724,797,667,5885,4754,93,105,-480.76885202021896,0.13542905692438403,0.14030290281867902,0.8833124215809285,0.8425787106446776,74,47,119,52,144,653,4003,1085,77,590,3662,425,0.7046728971962617,0.7864955826672276,0.1806775407779172,0.11544227886056972,0.11716842961757526,0.15338645418326693,5,4,0.024599399918766293,1.2478365416845794
