episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.004486753697023076,0.00433566399958366,0.004411208848303368,12.540139508547227,274,247,597,514,49,33,-453.8139153598651,0.45896147403685095,0.4805447470817121,0.8211678832116789,0.8663967611336032,274,247,597,514,49,33,-450.2665161259877,0.45896147403685095,0.4805447470817121,0.8211678832116789,0.8663967611336032,274,247,128,58,51,223,246,77,27,220,236,31,0.49748743718592964,0.5116731517509727,0.18613138686131386,0.10931174089068826,0.3984375,0.46551724137931033,12,17,-0.02158327304486113,1.0348481103364848
2,99.5,199.0,199,61.26208775105042,61.78520379459633,48.721948242503196,49.15140095192098,0.5231160435459046,0.4294527094177809,1.2180992972546505,0.004872100685425631,0.004325885815961583,0.004598993250693607,12.633802842675351,290,238,626,500,36,29,141.14749919571028,0.46325878594249204,0.476,0.8758620689655172,0.8781512605042017,564,485,1223,1014,85,62,-285.6694739099289,0.46116107931316436,0.47830374753451677,0.849290780141844,0.8721649484536083,290,238,128,49,108,456,511,148,48,437,470,59,0.5061324611610794,0.5108481262327417,0.19148936170212766,0.09896907216494845,0.421875,0.4485981308411215,25,17,-0.012741214057507944,1.126266594335115
3,199.0,298.5,199,61.78520379459633,62.231202206218384,49.15140095192098,49.491644606094965,0.4459984116220568,0.34024365417398883,1.3108206608726012,0.004742199155851784,0.004023768614909024,0.004382983885380404,12.739557600123419,265,195,588,452,41,25,-100.75361143556754,0.45068027210884354,0.4314159292035398,0.8452830188679246,0.8717948717948718,829,680,1811,1466,126,87,-409.61201730047776,0.45775814467145226,0.4638472032742155,0.8480096501809409,0.8720588235294118,265,195,121,49,166,663,771,211,70,610,700,86,0.5173937051352844,0.5252387448840382,0.20024125452352232,0.10294117647058823,0.4403183023872679,0.44871794871794873,16,18,0.01926434290530371,1.178546683395462
4,298.5,398.0,199,62.231202206218384,62.70509903253255,49.491644606094965,49.89288752439422,0.4738968263141672,0.4012429182992534,1.1810721253919485,0.00474734491039177,0.004025974497109541,0.004386659703750656,12.812211508138333,284,233,582,491,37,35,-243.40205624045473,0.4879725085910653,0.4745417515274949,0.869718309859155,0.8497854077253219,1113,913,2393,1957,163,122,-666.3372413012861,0.46510656080234014,0.46653040367910065,0.8535489667565139,0.8663745892661555,284,233,133,60,232,881,1002,278,101,812,929,115,0.5156707062264939,0.5263157894736842,0.20844564240790656,0.11062431544359255,0.4549019607843137,0.4675925925925926,27,14,0.013430757063570387,1.1791790816857235
5,398.0,497.5,199,62.70509903253255,63.22667016159294,49.89288752439422,50.27049950020871,0.5215711290603906,0.3776119758144887,1.3812356664149483,0.004846260107329277,0.003979798644550926,0.004413029375940102,12.956170661384235,301,220,629,468,44,32,-175.28489194316327,0.4785373608903021,0.4700854700854701,0.8538205980066444,0.8545454545454545,1414,1133,3022,2425,207,154,-847.5697917327944,0.46790205162144277,0.4672164948453608,0.8536067892503536,0.8640776699029127,301,220,133,52,296,1118,1261,347,121,1012,1145,147,0.515221707478491,0.5220618556701031,0.20933521923620935,0.10679611650485436,0.4603421461897356,0.45149253731343286,20,10,0.008451890804831996,1.2177148997135057
6,497.5,597.0,199,63.22667016159294,63.721561450567876,50.27049950020871,50.67022655670241,0.49489128897493373,0.39972705649370255,1.2380730324236393,0.004867513722564906,0.003986058429075023,0.004426786075819964,13.051334893865466,297,235,638,530,48,33,-471.68197473243777,0.46551724137931033,0.44339622641509435,0.8383838383838383,0.8595744680851064,1711,1368,3660,2955,255,187,-1327.8552550099926,0.4674863387978142,0.46294416243654823,0.8509643483343075,0.8633040935672515,297,235,153,63,364,1347,1517,432,152,1216,1408,179,0.5139344262295082,0.5279187817258884,0.21274108708357686,0.1111111111111111,0.457286432160804,0.459214501510574,14,12,0.02212101496421598,1.2211345641750735
7,597.0,696.5,199,63.721561450567876,64.21019986735392,50.67022655670241,51.08863637582268,0.4886384167860456,0.41840981912027075,1.1678464377662892,0.00487371731393725,0.004017353483529159,0.004445535398733205,13.12156349153124,287,237,595,512,43,28,-312.24514182526826,0.4823529411764706,0.462890625,0.8501742160278746,0.8818565400843882,1998,1605,4255,3467,298,215,-1644.7148490247691,0.46956521739130436,0.46293625612921835,0.8508508508508509,0.8660436137071651,287,237,122,52,429,1569,1768,489,174,1431,1653,209,0.5163337250293772,0.5269685607153158,0.2147147147147147,0.10841121495327102,0.4673202614379085,0.45430809399477806,20,10,0.019462316176470595,1.2131661637242321
8,696.5,796.0,199,64.21019986735392,64.74391616700437,51.08863637582268,51.48911598668703,0.5337162996504503,0.4004796108643518,1.3326928142447374,0.004935000513577569,0.004018299387113582,0.004476649950345576,13.25480018031734,313,229,665,466,49,30,-385.1694476448945,0.4706766917293233,0.49141630901287553,0.8434504792332268,0.868995633187773,2311,1834,4920,3933,347,245,-2022.1400701140496,0.46971544715447155,0.4663107042969743,0.8498485504110774,0.866412213740458,313,229,153,42,504,1807,2042,567,197,1637,1871,228,0.517479674796748,0.5258072718026952,0.21808740804846388,0.1074154852780807,0.47058823529411764,0.46352941176470586,23,18,-0.020739617283552225,1.2281316144346504
9,796.0,895.5,199,64.74391616700437,65.22164060975226,51.48911598668703,51.90027831329104,0.47772444274788484,0.411162326604007,1.1618876823994244,0.00492013942105598,0.004030964420710685,0.004475551920883333,13.321362296461217,274,247,610,541,30,37,-6.415278269776908,0.4491803278688525,0.4565619223659889,0.8905109489051095,0.8502024291497976,2585,2081,5530,4474,377,282,-2022.7173833073175,0.4674502712477396,0.4651318730442557,0.8541586073500967,0.8644882268140317,274,247,142,64,558,2027,2290,655,228,1853,2132,261,0.5150090415913201,0.5274921770227984,0.21586073500967118,0.10956271023546373,0.4600164880461665,0.4662576687116564,29,25,-0.0073815944971364345,1.2205861693486562
10,895.5,995.0,199,65.22164060975226,65.7591436692204,51.90027831329104,52.3567847300727,0.5375030594681505,0.45650641678165726,1.1774271723440706,0.004968329558817869,0.004086668397515654,0.004527498978166762,13.40235893914771,321,249,675,535,50,28,-238.71085418693616,0.47555555555555556,0.4654205607476635,0.8442367601246106,0.8875502008032129,2906,2330,6205,5009,427,310,-2228.5856137568894,0.4683319903303787,0.4651627071271711,0.8530626290433585,0.8669527896995708,321,249,142,53,620,2286,2564,735,256,2074,2393,286,0.5131345688960516,0.5288480734677581,0.21335168616655195,0.10987124463519313,0.4575645756457565,0.47232472324723246,17,21,0.01013499480789204,1.2157408126967657
