episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1064,60.81565575819663,61.30886637877053,48.29054967454462,48.70119786536497,0.49321062057390463,0.4106481908203463,1.2010539230396327,0.004932106205739046,0.004106481908203463,0.004519294056971254,12.607668513405564,313,254,587,477,42,36,-6841.497835422533,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,587,477,42,36,-6841.497835422533,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,494,412,271,42,51,223,218,36,29,194,0.5485519591141397,0.5178197064989518,0.865814696485623,0.8582677165354331,0.548582995951417,0.529126213592233,313,254,-6841.497835422533,100.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331
2,0.0,199.0,1174,61.314686459765205,61.927764055392394,48.703186015449795,49.21017333212178,0.613077595627189,0.5069873166719816,1.209256278148369,0.005560541485978838,0.004598118287885775,0.005079329886932307,12.717590723270618,389,326,648,526,60,58,-1500.131113174097,0.6003086419753086,0.6197718631178707,0.8457583547557841,0.8220858895705522,702,580,1235,1003,102,94,-8341.62894859663,0.5684210526315789,0.5782652043868395,0.8547008547008547,0.8379310344827586,389,326,551,433,329,60,37,222,268,58,35,165,0.5648148148148148,0.5760456273764258,0.8457583547557841,0.8220858895705522,0.5970961887477314,0.6189376443418014,389,326,-1500.131113174097,200.0,0.5684210526315789,0.5782652043868395,0.8547008547008547,0.8379310344827586
3,0.0,298.5,1147,61.93353717347404,62.660550746289935,49.21017333212178,49.73371311468464,0.727013572815892,0.5235397825628638,1.3886501026855511,0.006149649960311029,0.004810544800466729,0.005480097380388879,12.926837631605295,402,287,662,485,52,30,-1232.4930899134272,0.6072507552870091,0.5917525773195876,0.8706467661691543,0.8954703832752613,1104,867,1897,1488,154,124,-9574.122038510057,0.5819715340010543,0.5826612903225806,0.8605072463768115,0.8569780853517878,402,287,578,429,350,52,32,228,257,30,26,172,0.5770392749244713,0.5835051546391753,0.8706467661691543,0.8954703832752613,0.6055363321799307,0.5990675990675991,402,287,-1232.4930899134272,300.0,0.5819715340010543,0.5826612903225806,0.8605072463768115,0.8569780853517878
4,0.0,398.0,1139,62.660550746289935,63.38786221407972,49.736203925605224,50.34261846295651,0.7273114677897823,0.6064145373512844,1.1993635095994815,0.006430516139707727,0.005130171971029718,0.005780344055368722,13.045243751123209,447,333,643,496,77,40,-2329.368882747144,0.6951788491446346,0.6713709677419355,0.8277404921700224,0.8798798798798799,1551,1200,2540,1984,231,164,-11903.490921257202,0.6106299212598425,0.6048387096774194,0.851063829787234,0.8633333333333333,447,333,543,433,370,77,23,173,293,40,23,140,0.6111975116640747,0.6370967741935484,0.8277404921700223,0.8798798798798799,0.6813996316758748,0.6766743648960739,447,333,-2329.368882747144,400.0,0.6106299212598425,0.6048387096774194,0.851063829787234,0.8633333333333333
5,0.0,497.5,1223,63.393129527563985,64.16328897646521,50.34261846295651,51.012955024704205,0.7701594489012251,0.6703365617476962,1.1489145794066067,0.006695266436537168,0.005444810700319167,0.006070038568428167,13.150333951761006,478,386,677,546,86,54,-3522.0208233368076,0.7060561299852289,0.706959706959707,0.8200836820083682,0.8601036269430051,2029,1586,3217,2530,317,218,-15425.511744594009,0.6307118433322971,0.6268774703557313,0.8437654016757024,0.862547288776797,478,386,555,465,392,86,36,163,332,54,27,133,0.6322008862629247,0.6575091575091575,0.8200836820083682,0.8601036269430051,0.7063063063063063,0.7139784946236559,478,386,-3522.0208233368076,500.0,0.6307118433322971,0.6268774703557313,0.8437654016757024,0.862547288776797
6,0.0,597.0,1164,64.16328897646521,64.92756676676571,51.01724207414555,51.638675200916005,0.7642777903004969,0.6214331267704551,1.229863290797508,0.006853185014281801,0.005580209210618972,0.006216697112450386,13.288891565849703,489,369,654,510,81,54,-3230.974906602562,0.7477064220183486,0.7235294117647059,0.834355828220859,0.8536585365853658,2518,1955,3871,3040,398,272,-18656.48665119657,0.650477912684061,0.6430921052631579,0.8419380460683081,0.8608695652173913,489,369,551,436,408,81,22,143,315,54,20,121,0.6574923547400612,0.6568627450980392,0.8343558282208589,0.8536585365853658,0.7404718693284936,0.7224770642201835,489,369,-3230.974906602562,600.0,0.650477912684061,0.6430921052631579,0.8419380460683081,0.8608695652173913
7,0.0,696.5,1156,64.92990536481378,65.73947871233335,51.64671116699901,52.259174610281335,0.8095733475195743,0.6124634432823228,1.3218312968703851,0.007034032791623892,0.005669464193909591,0.006351748492766741,13.480304102052017,488,369,650,506,79,61,-2188.9943481035057,0.7507692307692307,0.7292490118577075,0.8381147540983607,0.8346883468834688,3006,2324,4521,3546,477,333,-20845.480999300074,0.6648971466489715,0.6553863508178229,0.8413173652694611,0.8567125645438898,488,369,547,424,409,79,24,138,308,61,21,116,0.6661538461538462,0.650197628458498,0.8381147540983607,0.8346883468834688,0.7477148080438757,0.7264150943396226,488,369,-2188.9943481035057,700.0,0.6648971466489715,0.6553863508178229,0.8413173652694611,0.8567125645438898
8,0.0,796.0,1231,65.73947871233335,66.65812131485329,52.26408084748775,52.959976869908324,0.9186426025199381,0.6958960224205768,1.3200860084306396,0.007303081945820828,0.005836783994204628,0.006569932970012729,13.698144444944965,526,394,698,533,95,61,-2247.7264178715873,0.7535816618911175,0.7392120075046904,0.8193916349809887,0.8451776649746193,3532,2718,5219,4079,572,394,-23093.207417171663,0.6767579996167848,0.6663397891640108,0.8380520951302378,0.8550404709345106,526,394,586,457,431,95,17,155,333,61,15,124,0.6418338108882522,0.6529080675422139,0.8193916349809885,0.8451776649746193,0.735494880546075,0.7286652078774617,526,394,-2247.7264178715873,800.0,0.6767579996167848,0.6663397891640108,0.8380520951302378,0.8550404709345106
9,0.0,895.5,1226,66.6645183425,67.53616008574055,52.959976869908324,53.710673156910346,0.871641743240545,0.7506962870020217,1.161111035624714,0.007467227030604357,0.006022359424850805,0.0067447932277275805,13.825486928830202,518,440,681,545,96,62,-2211.775444823111,0.7606461086637298,0.8073394495412844,0.8146718146718147,0.8590909090909091,4050,3158,5900,4624,668,456,-25304.982861994773,0.6864406779661016,0.6829584775086506,0.8350617283950618,0.8556048131728943,518,440,557,472,422,96,28,135,378,62,11,94,0.6607929515418502,0.7137614678899082,0.8146718146718147,0.8590909090909091,0.7576301615798923,0.8008474576271186,518,440,-2211.775444823111,900.0,0.6864406779661016,0.6829584775086506,0.8350617283950618,0.8556048131728943
10,0.0,995.0,1232,67.53835727179954,68.34885744805649,53.71356227622934,54.46010287938577,0.8105001762569515,0.7465406031564328,1.0856746074226808,0.007533201689859865,0.0061695532048411505,0.006851377447350508,13.88875456867072,520,471,651,581,97,61,-2924.6298611239863,0.7987711213517665,0.810671256454389,0.8134615384615385,0.8704883227176221,4570,3629,6551,5205,765,517,-28229.61272311876,0.6976034193252938,0.6972142170989434,0.8326039387308534,0.8575365114356572,520,471,533,503,423,97,21,110,410,61,17,93,0.6820276497695853,0.7349397590361446,0.8134615384615385,0.8704883227176221,0.7936210131332082,0.8151093439363817,520,471,-2924.6298611239863,1000.0,0.6976034193252938,0.6972142170989434,0.8326039387308534,0.8575365114356572
