episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1111,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.0044643199285379605,0.004313985679585741,0.00438915280406185,12.540139508547227,287,237,597,514,51,32,-122.2016034929563,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,597,514,51,32,-122.2016034929563,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,487,442,236,51,59,251,205,32,40,237,0.49413735343383586,0.4766536964980545,0.8222996515679443,0.8649789029535865,0.48459958932238195,0.4638009049773756,287,237,-122.2016034929563,100.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865
2,0.0,199.0,1122,61.26382678712119,61.65431657347407,48.72587298093149,49.03039607218384,0.39048978635288023,0.30452309125234933,1.2822994300596169,0.004193304076387214,0.003699231988196097,0.003946268032291656,12.623920501290229,229,196,624,498,36,20,-39.185960654210554,0.36698717948717946,0.39357429718875503,0.8427947598253275,0.8979591836734694,516,433,1221,1012,87,52,-161.38756414716684,0.4226044226044226,0.4278656126482213,0.8313953488372093,0.8799076212471132,229,196,544,444,193,36,44,351,176,20,34,268,0.3798076923076923,0.42168674698795183,0.8427947598253275,0.8979591836734694,0.3547794117647059,0.3963963963963964,229,196,-39.185960654210554,200.0,0.4226044226044226,0.4278656126482213,0.8313953488372093,0.8799076212471132
3,0.0,298.5,1034,61.65588928183722,61.91962518255063,49.03039607218384,49.2467915372127,0.2637359007134137,0.2163954650288602,1.2187681506090702,0.003679898081180018,0.003187472875560265,0.003433685478370142,12.672833645337931,170,127,585,449,22,19,-24.444631067181287,0.2905982905982906,0.2828507795100223,0.8705882352941177,0.8503937007874016,686,560,1806,1461,109,71,-185.83219521434813,0.3798449612403101,0.38329911019849416,0.8411078717201166,0.8732142857142857,170,127,507,382,148,22,56,359,108,19,48,274,0.3487179487179487,0.34743875278396436,0.8705882352941177,0.8503937007874016,0.29191321499013806,0.28272251308900526,170,127,-24.444631067181287,300.0,0.3798449612403101,0.38329911019849416,0.8411078717201166,0.8732142857142857
4,0.0,398.0,1037,61.9238291522748,62.1436042991927,49.248339682998235,49.40008537412672,0.2197751469179039,0.15174569112848246,1.4483122735381078,0.0033198713524901892,0.002773839248955241,0.003046855300722715,12.743518925065985,121,110,571,466,21,18,-29.02993540982273,0.2119089316987741,0.23605150214592274,0.8264462809917356,0.8363636363636364,807,670,2377,1927,130,89,-214.86213062417087,0.33950357593605385,0.3476907109496627,0.838909541511772,0.8671641791044776,121,110,494,391,100,21,56,394,92,18,57,299,0.2732049036777583,0.3197424892703863,0.8264462809917356,0.8363636363636363,0.20242914979757085,0.23529411764705882,121,110,-29.02993540982273,400.0,0.33950357593605385,0.3476907109496627,0.838909541511772,0.8671641791044776
5,0.0,497.5,1050,62.1436042991927,62.36628024285943,49.40008537412672,49.54193568632073,0.22267594366672938,0.14185031219400912,1.569795231484403,0.00310124896932561,0.002502772023552211,0.0028020104964389106,12.824344556538705,139,106,585,465,28,23,-14.880943587909599,0.2376068376068376,0.22795698924731184,0.7985611510791367,0.7830188679245282,946,776,2962,2392,158,112,-229.74307421208047,0.3193787981093856,0.32441471571906355,0.8329809725158562,0.8556701030927836,139,106,483,391,111,28,74,372,83,23,51,308,0.3162393162393162,0.28817204301075267,0.7985611510791367,0.7830188679245284,0.22981366459627328,0.21227621483375958,139,106,-14.880943587909599,500.0,0.3193787981093856,0.32441471571906355,0.8329809725158562,0.8556701030927836
6,0.0,597.0,1125,62.36628024285943,62.57656239197927,49.54193568632073,49.685576958081384,0.21028214911984122,0.14364127176065722,1.4639396222432826,0.0029348443896377438,0.0023250454725612713,0.0026299449310995078,12.890985433897889,147,90,648,477,25,15,-5.86875690453205,0.22685185185185186,0.18867924528301888,0.8299319727891157,0.8333333333333334,1093,866,3610,2869,183,127,-235.61183111661254,0.3027700831024931,0.3018473335657023,0.8325709057639524,0.8533487297921478,147,90,551,405,122,25,72,429,75,15,57,330,0.2993827160493827,0.27672955974842767,0.8299319727891157,0.8333333333333334,0.22141560798548093,0.18518518518518517,147,90,-5.86875690453205,600.0,0.3027700831024931,0.3018473335657023,0.8325709057639524,0.8533487297921478
7,0.0,696.5,1070,62.57656239197927,62.74636472889969,49.685576958081384,49.82220720364464,0.16980233692041935,0.13663024556325354,1.242787321507145,0.002758155672432951,0.002188082184428595,0.002473118928430773,12.924157525255055,133,82,606,464,16,11,-3.2142465544139847,0.21947194719471946,0.17672413793103448,0.8796992481203008,0.8658536585365854,1226,948,4216,3333,199,138,-238.82607767102652,0.29079696394686905,0.2844284428442844,0.8376835236541599,0.8544303797468354,133,82,530,402,117,16,60,413,71,11,51,331,0.29207920792079206,0.2629310344827586,0.8796992481203008,0.8658536585365854,0.22075471698113208,0.17661691542288557,133,82,-3.2142465544139847,700.0,0.29079696394686905,0.2844284428442844,0.8376835236541599,0.8544303797468354
8,0.0,796.0,1072,62.74636472889969,62.928268746675265,49.82220720364464,49.988665518812866,0.1819040177755724,0.16645831516822795,1.092790213524236,0.0026407662355982975,0.0021226448053353053,0.002381705520466801,12.9396032278624,112,101,569,503,18,14,-9.844060462412175,0.1968365553602812,0.20079522862823063,0.8392857142857143,0.8613861386138614,1338,1049,4785,3836,217,152,-248.6701381334387,0.27962382445141065,0.2734619395203337,0.8378176382660687,0.8551000953288846,112,101,462,436,94,18,89,368,87,14,53,349,0.3216168717047452,0.2783300198807157,0.8392857142857143,0.8613861386138614,0.20346320346320346,0.19954128440366972,112,101,-9.844060462412175,800.0,0.27962382445141065,0.2734619395203337,0.8378176382660687,0.8551000953288846
9,0.0,895.5,1095,62.928268746675265,63.07799659696198,49.991701936425024,50.14943875903438,0.1497278502867161,0.15773682260935828,0.9492257280820424,0.0025137120430726158,0.002065432316099734,0.002289572179586175,12.928557837927599,88,90,611,484,12,11,-12.403699166171341,0.14402618657937807,0.1859504132231405,0.8636363636363636,0.8777777777777778,1426,1139,5396,4320,229,163,-261.07383729961003,0.26426982950333583,0.2636574074074074,0.8394109396914446,0.8568920105355575,88,90,505,426,76,12,94,429,79,11,47,347,0.27823240589198034,0.2603305785123967,0.8636363636363636,0.8777777777777778,0.1504950495049505,0.18544600938967137,88,90,-12.403699166171341,900.0,0.26426982950333583,0.2636574074074074,0.8394109396914446,0.8568920105355575
10,0.0,995.0,1138,63.07799659696198,63.23231436691599,50.14943875903438,50.26395153818932,0.15431776995401236,0.11451277915493563,1.3476030456410515,0.0024166586087193665,0.001973401863644696,0.002195030236182031,12.968362828726676,111,77,632,506,19,10,-13.270938639583008,0.17563291139240506,0.15217391304347827,0.8288288288288288,0.8701298701298701,1537,1216,6028,4826,248,173,-274.344775939193,0.25497677504976773,0.25196850393700787,0.8386467143786598,0.8577302631578947,111,77,531,449,92,19,82,439,67,10,47,382,0.27531645569620256,0.22529644268774704,0.8288288288288288,0.8701298701298701,0.17325800376647835,0.1492204899777283,111,77,-13.270938639583008,1000.0,0.25497677504976773,0.25196850393700787,0.8386467143786598,0.8577302631578947
