episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.4013131137613,48.29054967454462,48.75114700950556,0.5856573555646705,0.46059733496093713,1.271517030410824,0.005856573555646704,0.004605973349609371,0.005231273452628037,12.650166104255739,324,248,607,498,49,48,93445.64996097093,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,607,498,49,48,93445.64996097093,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,514,410,275,49,44,239,200,48,40,210,0.5255354200988468,0.4819277108433735,0.8487654320987654,0.8064516129032258,0.5350194552529183,0.4878048780487805,324,248,93445.64996097093,100.0,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258
2,0.0,199.0,1107,61.4013131137613,61.842723962715446,48.75114700950556,49.09444937147294,0.44141084895414906,0.34330236196738184,1.2857786542001386,0.0051353410225940975,0.004019498484641595,0.004577419753617846,12.748274591242506,261,211,599,508,41,31,94404.95338095253,0.4357262103505843,0.4153543307086614,0.842911877394636,0.8530805687203792,585,459,1206,1006,90,79,187850.60334192344,0.48507462686567165,0.4562624254473161,0.8461538461538461,0.8278867102396514,261,211,493,432,220,41,65,273,180,31,45,252,0.4757929883138564,0.44291338582677164,0.842911877394636,0.8530805687203792,0.4462474645030426,0.4166666666666667,261,211,94404.95338095253,200.0,0.48507462686567165,0.4562624254473161,0.8461538461538461,0.8278867102396514
3,0.0,298.5,1094,61.842723962715446,62.17811967206846,49.09585459384458,49.3943561495905,0.33539570935301555,0.2985015557459221,1.1235978603692671,0.004541546379572783,0.0036793549168195956,0.004110450648196189,12.783763522477962,214,180,594,500,30,34,93837.21380196579,0.3602693602693603,0.36,0.8598130841121495,0.8111111111111111,799,639,1800,1506,120,113,281687.81714388926,0.4438888888888889,0.4243027888446215,0.8498122653316645,0.8231611893583725,214,180,520,418,184,30,44,336,146,34,48,272,0.3838383838383838,0.388,0.8598130841121495,0.8111111111111111,0.35384615384615387,0.3492822966507177,214,180,93837.21380196579,300.0,0.4438888888888889,0.4243027888446215,0.8498122653316645,0.8231611893583725
4,0.0,398.0,1124,62.1834278719213,62.51394044806134,49.395716353971174,49.66958696657965,0.3305125761400376,0.27387061260847645,1.2068201585853833,0.004245711724661785,0.0034475932300875732,0.0038466524773746787,12.84435348148169,202,162,610,514,40,21,97159.00226846528,0.33114754098360655,0.3151750972762646,0.801980198019802,0.8703703703703703,1001,801,2410,2020,160,134,378846.81941235455,0.4153526970954357,0.39653465346534655,0.8401598401598401,0.83270911360799,202,162,507,439,162,40,63,345,141,21,54,298,0.36885245901639346,0.37937743190661477,0.801980198019802,0.8703703703703703,0.31952662721893493,0.3211845102505695,202,162,97159.00226846528,400.0,0.4153526970954357,0.39653465346534655,0.8401598401598401,0.83270911360799
5,0.0,497.5,1054,62.521634496556324,62.792201420491054,49.67188868789666,49.877633596964934,0.27056692393473014,0.20574490906827236,1.3150601157521127,0.003953091324588854,0.003174167844840625,0.0035636295847147393,12.91456782352612,176,127,611,443,25,17,91466.3217077545,0.28805237315875615,0.2866817155756208,0.8579545454545454,0.8661417322834646,1177,928,3021,2463,185,151,470313.14112010907,0.3896060906984442,0.37677628907835975,0.8428207306711979,0.8372844827586207,176,127,526,375,151,25,60,375,110,17,51,265,0.3453355155482815,0.36343115124153497,0.8579545454545454,0.8661417322834646,0.2870722433460076,0.29333333333333333,176,127,91466.3217077545,500.0,0.3896060906984442,0.37677628907835975,0.8428207306711979,0.8372844827586207
6,0.0,597.0,1140,62.792201420491054,63.11985184703246,49.877633596964934,50.1088504309982,0.3276504265414033,0.23121683403326898,1.4170699461020162,0.003840326814726384,0.003030501260755969,0.0034354140377411764,13.011001416034254,194,153,654,486,26,19,99382.27531472118,0.2966360856269113,0.3148148148148148,0.865979381443299,0.8758169934640523,1371,1081,3675,2949,211,170,569695.4164348303,0.3730612244897959,0.3665649372668701,0.8460977388767323,0.8427382053654024,194,153,563,419,168,26,65,395,134,19,48,285,0.3562691131498471,0.37448559670781895,0.865979381443299,0.8758169934640523,0.2984014209591474,0.3198090692124105,194,153,99382.27531472118,600.0,0.3730612244897959,0.3665649372668701,0.8460977388767323,0.8427382053654024
7,0.0,696.5,1092,63.121635737352634,63.41367781773028,50.1088504309982,50.37246594312034,0.292042080377648,0.2636155121221364,1.1078334428299546,0.003711460085048078,0.002974166097965311,0.0033428130915066946,13.041211874609942,174,160,587,505,31,22,95640.2349225089,0.29642248722316866,0.31683168316831684,0.8218390804597702,0.8625,1545,1241,4262,3454,242,192,665335.6513573392,0.3625058657907086,0.35929357266936884,0.8433656957928802,0.8452860596293312,174,160,487,432,143,31,69,344,138,22,51,294,0.36115843270868825,0.37425742574257426,0.8218390804597702,0.8625,0.2936344969199179,0.3194444444444444,174,160,95640.2349225089,700.0,0.3625058657907086,0.35929357266936884,0.8433656957928802,0.8452860596293312
8,0.0,796.0,1123,63.41367781773028,63.75901895514117,50.37539065054884,50.60534341156011,0.345341137410891,0.22995276101127615,1.5017916544779237,0.003679203996180682,0.002893492171269365,0.0032863480837250236,13.153675543581059,175,140,631,492,24,21,98777.77072005061,0.277337559429477,0.2845528455284553,0.8628571428571429,0.85,1720,1381,4893,3946,266,213,764113.4220773899,0.35152258328223995,0.34997465788139887,0.8453488372093023,0.8457639391745112,175,140,540,424,151,24,67,389,119,21,47,305,0.34548335974643424,0.33739837398373984,0.8628571428571429,0.85,0.2796296296296296,0.2806603773584906,175,140,98777.77072005061,800.0,0.35152258328223995,0.34997465788139887,0.8453488372093023,0.8457639391745112
9,0.0,895.5,1186,63.75901895514117,64.08050338287038,50.6110731303597,50.88197741282126,0.32148442772920305,0.27090428246155795,1.1867085481560173,0.003627608471859721,0.002879364153640706,0.0032534863127502136,13.198525970049118,203,149,670,516,23,29,104838.78981973378,0.3029850746268657,0.28875968992248063,0.8866995073891626,0.8053691275167785,1923,1530,5563,4462,289,242,868952.2118971237,0.3456767930972497,0.34289556252801434,0.8497139885595424,0.8418300653594771,203,149,566,429,180,23,81,386,120,29,58,309,0.3895522388059702,0.3449612403100775,0.8866995073891626,0.8053691275167785,0.31802120141342755,0.27972027972027974,203,149,104838.78981973378,900.0,0.3456767930972497,0.34289556252801434,0.8497139885595424,0.8418300653594771
10,0.0,995.0,1163,64.08050338287038,64.41399001728266,50.88197741282126,51.12383488200672,0.33348663441228155,0.24185746918546158,1.3788560491243573,0.0035983342590860303,0.0028332852074620975,0.003215809733274064,13.290155135275938,209,161,656,507,24,18,103353.9274708831,0.31859756097560976,0.3175542406311637,0.8851674641148325,0.8881987577639752,2132,1691,6219,4969,313,260,972306.1393680068,0.3428203891300852,0.34030992151338296,0.8531894934333959,0.8462448255470136,209,161,550,436,185,24,82,365,143,18,53,293,0.4070121951219512,0.3865877712031558,0.8851674641148325,0.8881987577639752,0.33636363636363636,0.32798165137614677,209,161,103353.9274708831,1000.0,0.3428203891300852,0.34030992151338296,0.8531894934333959,0.8462448255470136
