episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.4013131137613,48.29054967454462,48.75114700950556,0.5856573555646705,0.46059733496093713,1.271517030410824,0.005856573555646704,0.004605973349609371,0.005231273452628037,12.650166104255739,324,248,607,498,49,48,-6949.948899250526,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,607,498,49,48,-6949.948899250526,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,514,410,275,49,44,239,200,48,40,210,0.5255354200988468,0.4819277108433735,0.8487654320987654,0.8064516129032258,0.5350194552529183,0.4878048780487805,324,248,-6949.948899250526,100.0,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258
2,0.0,199.0,1117,61.4013131137613,61.9716318715723,48.75114700950556,49.26058143386428,0.5703187578110018,0.509434424358723,1.119513583183783,0.005779880566878361,0.004850158796598301,0.005315019681738331,12.711050437708018,359,305,612,505,65,44,-7109.614732876546,0.5866013071895425,0.6039603960396039,0.818941504178273,0.8557377049180328,683,553,1219,1003,114,92,-14059.563632127072,0.5602953240360952,0.551345962113659,0.8330893118594436,0.833634719710669,359,305,503,437,294,65,44,209,261,44,24,176,0.5522875816993464,0.5643564356435643,0.8189415041782729,0.8557377049180328,0.584493041749503,0.597254004576659,359,305,-7109.614732876546,200.0,0.5602953240360952,0.551345962113659,0.8330893118594436,0.833634719710669
3,0.0,298.5,1122,61.973509227458,62.61042241065815,49.26556531158337,49.804988114670785,0.63691318320015,0.5394228030874118,1.1807309211897374,0.005982555508205086,0.005048128133753878,0.005515341820979482,12.805434295987368,388,305,633,489,65,42,-7160.043405904515,0.6129541864139021,0.623721881390593,0.8324742268041238,0.862295081967213,1071,858,1852,1492,179,134,-21219.607038031587,0.57829373650108,0.5750670241286864,0.8328664799253035,0.8438228438228438,388,305,526,415,323,65,42,203,263,42,32,152,0.5766192733017378,0.6032719836400818,0.8324742268041238,0.8622950819672132,0.6140684410646388,0.6337349397590362,388,305,-7160.043405904515,300.0,0.57829373650108,0.5750670241286864,0.8328664799253035,0.8438228438228438
4,0.0,398.0,1154,62.61531064263384,63.25023407647872,49.80838758553608,50.29971691872022,0.6349234338448824,0.4913293331841402,1.2922563155962155,0.006086445795705231,0.005022918110439001,0.005554681953072117,12.950517157758497,399,292,662,492,71,44,-7433.771429903524,0.6027190332326284,0.5934959349593496,0.8220551378446115,0.8493150684931507,1470,1150,2514,1984,250,178,-28653.378467935112,0.5847255369928401,0.5796370967741935,0.8299319727891157,0.8452173913043478,399,292,550,422,328,71,41,222,248,44,26,174,0.5574018126888217,0.556910569105691,0.8220551378446115,0.8493150684931506,0.5963636363636363,0.5876777251184834,399,292,-7433.771429903524,400.0,0.5847255369928401,0.5796370967741935,0.8299319727891157,0.8452173913043478
5,0.0,497.5,1079,63.25261317101568,63.763914835736614,50.29971691872022,50.76683372777999,0.5113016647209321,0.4671168090597675,1.0945905923404935,0.005896518155079974,0.004952568106470736,0.0054245431307753545,12.997081107956625,331,281,587,492,66,41,-7020.413739438191,0.5638841567291312,0.5711382113821138,0.8006042296072508,0.8540925266903915,1801,1431,3101,2476,316,219,-35673.792207373306,0.5807803934214769,0.5779483037156704,0.8245419211549139,0.8469601677148847,331,281,485,425,265,66,36,220,240,41,26,185,0.5127768313458262,0.540650406504065,0.8006042296072508,0.8540925266903915,0.5463917525773195,0.5647058823529412,331,281,-7020.413739438191,500.0,0.5807803934214769,0.5779483037156704,0.8245419211549139,0.8469601677148847
6,0.0,597.0,1170,63.76978146657942,64.3774388677909,50.76906288473645,51.239937613606635,0.6076574012114833,0.4708747288701858,1.2904863309812635,0.005936305182657122,0.0049156465651033565,0.005425975873880239,13.137501254184265,324,303,616,554,38,42,-7648.831343154947,0.525974025974026,0.5469314079422383,0.8827160493827161,0.8613861386138614,2125,1734,3717,3030,354,261,-43322.62355052825,0.5716976055959107,0.5722772277227722,0.8334117647058823,0.8494809688581315,324,303,522,473,286,38,56,236,261,42,39,212,0.5551948051948052,0.5415162454873647,0.8827160493827161,0.8613861386138614,0.5478927203065134,0.5517970401691332,324,303,-7648.831343154947,600.0,0.5716976055959107,0.5722772277227722,0.8334117647058823,0.8494809688581315
7,0.0,696.5,1162,64.38009348533934,64.91153165472979,51.24474356495103,51.699158636028606,0.5314381693904409,0.4544150710775767,1.169499436121728,0.005851251280761654,0.00486944137354855,0.005360346327155102,13.212373018701179,329,261,668,494,56,35,-7655.584338909382,0.49251497005988026,0.52834008097166,0.8297872340425532,0.8659003831417624,2454,1995,4385,3524,410,296,-50978.20788943763,0.5596351197263398,0.5661180476730987,0.8329258353708231,0.8516290726817043,329,261,562,428,273,56,50,289,226,35,31,202,0.48353293413173654,0.520242914979757,0.8297872340425532,0.8659003831417624,0.48576512455516013,0.5280373831775701,329,261,-7655.584338909382,700.0,0.5596351197263398,0.5661180476730987,0.8329258353708231,0.8516290726817043
8,0.0,796.0,1185,64.91326363932849,65.50248954018075,51.70016829736619,52.16039012898678,0.5892259008522558,0.4602218316205935,1.2803084520727672,0.005858542227480151,0.004837300568052702,0.005347921397766426,13.342099411193963,340,271,668,517,51,43,-7875.709261457509,0.5089820359281437,0.5241779497098646,0.85,0.8413284132841329,2794,2266,5053,4041,461,339,-58853.91715089514,0.5529388482089848,0.560752289037367,0.8350035790980673,0.850397175639894,340,271,572,436,289,51,45,283,228,43,38,208,0.5,0.5145067698259188,0.85,0.8413284132841329,0.5052447552447552,0.5229357798165137,340,271,-7875.709261457509,800.0,0.5529388482089848,0.560752289037367,0.8350035790980673,0.850397175639894
9,0.0,895.5,1218,65.50672403820965,66.09579886478163,52.16039012898678,52.613463538803295,0.5890748265719736,0.45307340981651123,1.3001752338777532,0.005866825673983334,0.004803237626954082,0.005335031650468708,13.482335325978333,327,270,698,520,44,40,-8171.071505183784,0.4684813753581662,0.5192307692307693,0.8654434250764527,0.8518518518518519,3121,2536,5751,4561,505,379,-67024.98865607893,0.5426882281342376,0.5560184170138127,0.8381928868952259,0.8505520504731862,327,270,584,438,283,44,70,301,230,40,42,208,0.505730659025788,0.5230769230769231,0.8654434250764526,0.8518518518518519,0.4845890410958904,0.5251141552511416,327,270,-8171.071505183784,900.0,0.5426882281342376,0.5560184170138127,0.8381928868952259,0.8505520504731862
10,0.0,995.0,1230,66.09710483108809,66.69665800057196,52.61807435607745,53.11226041263595,0.5995531694838689,0.49418605655849746,1.213213447702564,0.005881002242375331,0.004821710738091326,0.005351356490233329,13.58439758793601,350,282,680,550,42,30,-8324.971327307054,0.5147058823529411,0.5127272727272727,0.88,0.8936170212765957,3471,2818,6431,5111,547,409,-75349.95998338598,0.5397294355465713,0.5513598121698298,0.8424085278017862,0.85486160397445,350,282,590,472,308,42,48,282,252,30,48,220,0.5235294117647059,0.5454545454545454,0.88,0.8936170212765957,0.5220338983050847,0.5338983050847458,350,282,-8324.971327307054,1000.0,0.5397294355465713,0.5513598121698298,0.8424085278017862,0.85486160397445
