episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1111,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.0044643199285379605,0.004313985679585741,0.00438915280406185,12.540139508547227,287,237,597,514,51,32,-7622.434726480104,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,597,514,51,32,-7622.434726480104,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,487,442,236,51,59,251,205,32,40,237,0.49413735343383586,0.4766536964980545,0.8222996515679443,0.8649789029535865,0.48459958932238195,0.4638009049773756,287,237,-7622.434726480104,100.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865
2,0.0,199.0,1110,61.26382678712119,61.61034155378373,48.72587298093149,49.01926675318238,0.346514766662537,0.29339377225088725,1.181056993828161,0.003973428977935498,0.003643585393188786,0.003808507185562142,12.591074800601348,206,175,609,501,35,23,-7833.98014002208,0.33825944170771755,0.34930139720558884,0.8300970873786407,0.8685714285714285,493,412,1206,1015,86,55,-15456.414866502184,0.4087893864013267,0.4059113300492611,0.8255578093306288,0.866504854368932,206,175,505,433,171,35,69,334,152,23,45,281,0.39408866995073893,0.3932135728542914,0.8300970873786407,0.8685714285714285,0.33861386138613864,0.3510392609699769,206,175,-7833.98014002208,200.0,0.4087893864013267,0.4059113300492611,0.8255578093306288,0.866504854368932
3,0.0,298.5,1032,61.61673390243423,61.84829267361247,49.01926675318238,49.229015012252844,0.23155877117824275,0.2097482590704658,1.1039842342646078,0.003442123051386143,0.0031282177923607434,0.003285170421873443,12.619277661359625,154,117,585,447,27,10,-6455.702350261187,0.26324786324786326,0.26174496644295303,0.8246753246753247,0.9145299145299145,647,529,1791,1462,113,65,-21912.11721676337,0.361250697934115,0.36183310533515733,0.8253477588871716,0.8771266540642723,154,117,494,384,127,27,64,367,107,10,53,277,0.3264957264957265,0.3579418344519016,0.8246753246753247,0.9145299145299145,0.25708502024291496,0.2786458333333333,154,117,-6455.702350261187,300.0,0.361250697934115,0.36183310533515733,0.8253477588871716,0.8771266540642723
4,0.0,398.0,1038,61.84829267361247,62.070335132700244,49.230973466377066,49.417182099503876,0.2220424590877741,0.18620863312681024,1.1924391225006232,0.003136698436259042,0.0028165810623981356,0.002976639749328589,12.653153033196368,150,111,579,459,24,15,-6141.610063541089,0.25906735751295334,0.24183006535947713,0.84,0.8648648648648649,797,640,2370,1921,137,80,-28053.72728030446,0.3362869198312236,0.3331598125976054,0.8281053952321205,0.875,150,111,489,400,126,24,66,363,96,15,44,304,0.3316062176165803,0.30501089324618735,0.84,0.8648648648648649,0.25766871165644173,0.24,150,111,-6141.610063541089,400.0,0.3362869198312236,0.3331598125976054,0.8281053952321205,0.875
5,0.0,497.5,1069,62.070335132700244,62.31589466187926,49.417182099503876,49.658479093093675,0.2455595291790189,0.24129699358979906,1.0176651002808021,0.0030004778073652715,0.002735858837098107,0.002868168322231689,12.657415568785588,150,123,600,469,23,13,-6395.092700128179,0.25,0.2622601279317697,0.8466666666666667,0.8943089430894309,947,763,2970,2390,160,93,-34448.81998043264,0.31885521885521884,0.3192468619246862,0.8310454065469906,0.8781127129750983,150,123,503,418,127,23,74,376,110,13,38,308,0.335,0.31556503198294245,0.8466666666666667,0.8943089430894309,0.2524850894632207,0.2631578947368421,150,123,-6395.092700128179,500.0,0.31885521885521884,0.3192468619246862,0.8310454065469906,0.8781127129750983
6,0.0,597.0,1129,62.31589466187926,62.57061595655195,49.65996867954866,49.86345223848194,0.25472129467268445,0.20348355893327863,1.2518028287297966,0.0029249336639255337,0.002621504273228865,0.0027732189685771994,12.707163718070007,154,105,641,488,18,19,-6635.199757338201,0.24024960998439937,0.2151639344262295,0.8831168831168831,0.819047619047619,1101,868,3611,2878,178,112,-41084.01973777085,0.30490168928274713,0.3015983321751216,0.8383287920072662,0.8709677419354839,154,105,554,419,136,18,69,418,86,19,50,333,0.31981279251170047,0.2786885245901639,0.8831168831168831,0.819047619047619,0.24548736462093862,0.2052505966587112,154,105,-6635.199757338201,600.0,0.30490168928274713,0.3015983321751216,0.8383287920072662,0.8709677419354839
7,0.0,696.5,1071,62.57061595655195,62.771926808493824,49.8654952910324,50.0565700639164,0.20131085194187648,0.19107477288400077,1.0535710648945265,0.0027946729289959954,0.0025228862705311173,0.0026587795997635565,12.71535674457742,138,146,590,481,23,17,-5940.486338751704,0.23389830508474577,0.30353430353430355,0.8333333333333334,0.8835616438356164,1239,1014,4201,3359,201,129,-47024.50607652255,0.2949297786241371,0.3018755582018458,0.837772397094431,0.8727810650887574,138,146,488,413,115,23,79,373,129,17,51,284,0.3288135593220339,0.37422037422037424,0.8333333333333334,0.8835616438356164,0.23565573770491804,0.31234866828087166,138,146,-5940.486338751704,700.0,0.2949297786241371,0.3018755582018458,0.837772397094431,0.8727810650887574
8,0.0,796.0,1090,62.771926808493824,63.03626807497855,50.0565700639164,50.29094358740511,0.26434126648472756,0.23437352348870633,1.1278631756264281,0.0027757653959774053,0.0025004923910756107,0.002638128893526508,12.745324487573441,164,144,568,522,26,25,-5835.228111674055,0.2887323943661972,0.27586206896551724,0.8414634146341463,0.8263888888888888,1403,1158,4769,3881,227,154,-52859.734188196606,0.29419165443489204,0.2983767070342695,0.8382038488952245,0.8670120898100173,164,144,477,449,138,26,65,339,119,25,48,330,0.3573943661971831,0.31992337164750956,0.8414634146341463,0.8263888888888888,0.2893081761006289,0.2650334075723831,164,144,-5835.228111674055,800.0,0.29419165443489204,0.2983767070342695,0.8382038488952245,0.8670120898100173
9,0.0,895.5,1109,63.03626807497855,63.339122810700694,50.295203501555136,50.51382092397881,0.3028547357221427,0.21861742242367654,1.3853183902937791,0.0028038522805600746,0.0024703013882602124,0.0026370768344101438,12.825301886721881,156,131,630,479,21,24,-5861.567103792446,0.24761904761904763,0.27348643006263046,0.8653846153846154,0.816793893129771,1559,1289,5399,4360,248,178,-58721.30129198905,0.28875717725504724,0.2956422018348624,0.8409236690186017,0.8619084561675717,156,131,531,414,135,21,78,396,107,24,41,307,0.3380952380952381,0.3089770354906054,0.8653846153846154,0.816793893129771,0.2542372881355932,0.2584541062801932,156,131,-5861.567103792446,900.0,0.28875717725504724,0.2956422018348624,0.8409236690186017,0.8619084561675717
10,0.0,995.0,1164,63.341108741487766,63.62256264273045,50.51382092397881,50.757072541084696,0.2814539012426849,0.2432516171058836,1.1570484282543223,0.0028069068845338234,0.0024665228665400746,0.002636714875536949,12.865490101645754,165,128,650,514,25,16,-6069.249986784148,0.25384615384615383,0.2490272373540856,0.8484848484848485,0.875,1724,1417,6049,4874,273,194,-64790.5512787732,0.2850057860803439,0.29072630283135004,0.8416473317865429,0.863091037402964,165,128,541,449,140,25,84,401,112,16,49,337,0.3446153846153846,0.3132295719844358,0.8484848484848485,0.875,0.2587800369685767,0.24944320712694878,165,128,-6069.249986784148,1000.0,0.2850057860803439,0.29072630283135004,0.8416473317865429,0.863091037402964
11,0.0,1094.5,1133,63.62553211108397,63.89563698115255,50.757072541084696,51.02850325508059,0.27010487006857886,0.27143071399589047,0.9951153504045541,0.0027999829299599293,0.0024890487095781504,0.00264451581976904,12.867133726071962,176,159,585,548,29,30,-6022.159752994607,0.30085470085470084,0.29014598540145986,0.8352272727272727,0.8113207547169812,1900,1576,6634,5422,302,224,-70812.7110317678,0.28640337654507086,0.2906676503135374,0.8410526315789474,0.8578680203045685,176,159,499,458,147,29,57,352,129,30,60,329,0.3487179487179487,0.3448905109489051,0.8352272727272727,0.8113207547169812,0.29458917835671344,0.2816593886462882,176,159,-6022.159752994607,1100.0,0.28640337654507086,0.2906676503135374,0.8410526315789474,0.8578680203045685
12,0.0,1194.0,1095,63.89563698115255,64.18933996253546,51.02850325508059,51.26559105635547,0.29370298138290707,0.23708780127488183,1.2387941505365982,0.002811403503615691,0.002479201151509039,0.002645302327562365,12.923748906179988,160,126,603,492,23,17,-6120.700673403859,0.26533996683250416,0.25609756097560976,0.85625,0.8650793650793651,2060,1702,7237,5914,325,241,-76933.41170517166,0.28464833494541936,0.28779168075752454,0.8422330097087378,0.8584018801410106,160,126,508,433,137,23,72,371,109,17,42,324,0.3466003316749585,0.30691056910569103,0.85625,0.8650793650793651,0.26968503937007876,0.2517321016166282,160,126,-6120.700673403859,1200.0,0.28464833494541936,0.28779168075752454,0.8422330097087378,0.8584018801410106
13,0.0,1293.5,1161,64.19427482927568,64.47059102165055,51.26739551016421,51.537277565349264,0.27631619237486404,0.26988205518505737,1.0238405520715144,0.0028114886641953246,0.002497482992926648,0.002654485828560986,12.933313456301285,168,164,650,511,24,17,-6485.641727376224,0.25846153846153846,0.32093933463796476,0.8571428571428572,0.8963414634146342,2228,1866,7887,6425,349,258,-83419.05343254788,0.28249017370356283,0.29042801556420234,0.8433572710951526,0.8617363344051447,168,164,557,453,144,24,69,413,147,17,41,306,0.32769230769230767,0.3679060665362035,0.8571428571428571,0.8963414634146342,0.2585278276481149,0.32450331125827814,168,164,-6485.641727376224,1300.0,0.28249017370356283,0.29042801556420234,0.8433572710951526,0.8617363344051447
14,0.0,1393.0,1155,64.47203167210543,64.7589179787153,51.54011160535575,51.76916612891905,0.2868863066098726,0.22905452356330613,1.2524804232062368,0.002816615871799054,0.00248472603883888,0.002650670955318967,12.98975184979625,167,150,648,507,24,29,-6493.6575139565075,0.25771604938271603,0.2958579881656805,0.8562874251497006,0.8066666666666666,2395,2016,8535,6932,373,287,-89912.71094650439,0.28060925600468656,0.2908251586843624,0.844258872651357,0.8576388888888888,167,150,551,421,143,24,73,408,121,29,57,300,0.3333333333333333,0.3510848126232742,0.8562874251497006,0.8066666666666666,0.2595281306715064,0.28741092636579574,167,150,-6493.6575139565075,1400.0,0.28060925600468656,0.2908251586843624,0.844258872651357,0.8576388888888888
15,0.0,1492.5,1117,64.7589179787153,65.06984221066216,51.77245918734393,51.985894244985275,0.31092423194685637,0.21343505764134818,1.456762705165929,0.002836124301643688,0.0024635630469604358,0.002649843674302062,13.083947965676884,210,151,619,498,23,30,-6276.388949074197,0.3392568659127625,0.3032128514056225,0.8904761904761904,0.8013245033112583,2605,2167,9154,7430,396,317,-96189.09989557859,0.2845750491588377,0.29165545087483175,0.8479846449136277,0.853714813105676,210,151,534,411,187,23,62,347,121,30,57,290,0.40226171243941844,0.357429718875502,0.8904761904761904,0.8013245033112583,0.350187265917603,0.2944038929440389,210,151,-6276.388949074197,1500.0,0.2845750491588377,0.29165545087483175,0.8479846449136277,0.853714813105676
16,0.0,1592.0,1084,65.07180741074893,65.43502836153486,51.985894244985275,52.273883113870205,0.3632209507859301,0.2879888688849306,1.2612326031637682,0.002887107877086397,0.00248958339957849,0.0026883456383324433,13.161145247664656,200,174,610,474,27,22,-5966.499891037092,0.32786885245901637,0.3670886075949367,0.865,0.8735632183908046,2805,2341,9764,7904,423,339,-102155.59978661568,0.287279803359279,0.2961791497975709,0.8491978609625669,0.8551900897052542,200,174,526,402,173,27,57,353,152,22,50,250,0.3770491803278688,0.42616033755274263,0.865,0.8735632183908046,0.3288973384030418,0.3781094527363184,200,174,-5966.499891037092,1600.0,0.287279803359279,0.2961791497975709,0.8491978609625669,0.8551900897052542
17,0.0,1691.5,1167,65.43502836153486,65.81021681496978,52.273883113870205,52.588450346684276,0.3751884534349159,0.3145672328140705,1.1927130810114492,0.0029379770922195003,0.0025281768659645024,0.002733076979092001,13.221766468285502,242,152,648,519,35,26,-6364.980119379641,0.3734567901234568,0.2928709055876686,0.8553719008264463,0.8289473684210527,3047,2493,10412,8423,458,365,-108520.57990599533,0.2926431041106416,0.2959753057105544,0.8496882179192649,0.8535900521460088,242,152,561,431,207,35,52,354,126,26,62,305,0.39969135802469136,0.3622350674373796,0.8553719008264463,0.8289473684210527,0.3689839572192513,0.2923433874709977,242,152,-6364.980119379641,1700.0,0.2926431041106416,0.2959753057105544,0.8496882179192649,0.8535900521460088
18,0.0,1791.0,1127,65.81021681496978,66.19282578450924,52.59269094093894,52.94651565220116,0.38260896953946144,0.35382471126222015,1.0813517466729712,0.0029873166812847845,0.0025866477653647417,0.002786982223324763,13.246310132308082,225,180,622,505,26,27,-6071.777855481659,0.3617363344051447,0.3564356435643564,0.8844444444444445,0.85,3272,2673,11034,8928,484,392,-114592.35776147699,0.2965379735363422,0.29939516129032256,0.852078239608802,0.8533482977927422,225,180,531,428,199,26,65,332,153,27,50,275,0.42443729903536975,0.401980198019802,0.8844444444444445,0.85,0.3747645951035782,0.3574766355140187,225,180,-6071.777855481659,1800.0,0.2965379735363422,0.29939516129032256,0.852078239608802,0.8533482977927422
19,0.0,1890.5,1147,66.19282578450924,66.58434394377862,52.95380249519126,53.280862699440085,0.39151815926938127,0.32706020424882354,1.197082843412887,0.0030361516766221016,0.002626480539418665,0.0028313161080203834,13.303481244338535,234,177,646,501,31,21,-6160.286865426566,0.3622291021671827,0.3532934131736527,0.8675213675213675,0.8813559322033898,3506,2850,11680,9429,515,413,-120752.64462690355,0.3001712328767123,0.30225898822780783,0.8531089560752995,0.8550877192982456,234,177,550,425,203,31,65,347,156,21,55,269,0.4148606811145511,0.42115768463073855,0.8675213675213675,0.8813559322033898,0.3690909090909091,0.36705882352941177,234,177,-6160.286865426566,1900.0,0.3001712328767123,0.30225898822780783,0.8531089560752995,0.8550877192982456
20,0.0,1990.0,1195,66.58540338915856,66.98079119550852,53.28303041796698,53.59361366402321,0.39538780634995874,0.31058324605623255,1.2730493720140073,0.0030825677186559447,0.002651531994739294,0.002867049856697619,13.387177531485307,248,198,689,506,42,24,-6343.093207896614,0.3599419448476052,0.391304347826087,0.8306451612903226,0.8787878787878788,3754,3048,12369,9935,557,437,-127095.73783480017,0.3035006872018757,0.30679416205334675,0.8516249334043686,0.8566272965879265,248,198,579,431,206,42,68,373,174,24,51,257,0.397677793904209,0.44466403162055335,0.8306451612903226,0.8787878787878788,0.35578583765112265,0.4037122969837587,248,198,-6343.093207896614,2000.0,0.3035006872018757,0.30679416205334675,0.8516249334043686,0.8566272965879265
