episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1064,60.81565575819663,61.30886637877053,48.29054967454462,48.70119786536497,0.49321062057390463,0.4106481908203463,1.2010539230396327,0.004932106205739046,0.004106481908203463,0.004519294056971254,12.607668513405564,313,254,587,477,42,36,531.538926267582,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,587,477,42,36,531.538926267582,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,494,412,271,42,51,223,218,36,29,194,0.5485519591141397,0.5178197064989518,0.865814696485623,0.8582677165354331,0.548582995951417,0.529126213592233,313,254,531.538926267582,100.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331
2,0.0,199.0,1140,61.314686459765205,61.725810522397595,48.703186015449795,49.08225127530804,0.4111240626323891,0.379065259858244,1.0845733074725281,0.004550773821004839,0.003958508003817088,0.004254640912410963,12.643559247089556,264,249,620,520,36,30,550.7047427911035,0.4258064516129032,0.47884615384615387,0.8636363636363636,0.8795180722891567,577,503,1207,997,78,66,1082.2436690586856,0.4780447390223695,0.5045135406218656,0.8648180242634316,0.8687872763419483,264,249,525,460,228,36,59,297,219,30,30,241,0.4629032258064516,0.47884615384615387,0.8636363636363636,0.8795180722891566,0.4342857142857143,0.47608695652173916,264,249,550.7047427911035,200.0,0.4780447390223695,0.5045135406218656,0.8648180242634316,0.8687872763419483
3,0.0,298.5,1126,61.730594962385325,62.1328414600795,49.084875034338395,49.37310582152985,0.402246497694172,0.288230787191452,1.3955708951625183,0.004390619006276234,0.0036085204899507536,0.003999569748113494,12.75973563854965,268,187,656,470,50,31,508.0250524265403,0.40853658536585363,0.39787234042553193,0.8134328358208955,0.8342245989304813,845,690,1863,1467,128,97,1590.2687214852258,0.45356951154052605,0.4703476482617587,0.8485207100591716,0.8594202898550725,268,187,535,388,218,50,71,317,156,31,51,232,0.4405487804878049,0.44042553191489364,0.8134328358208955,0.8342245989304813,0.4074766355140187,0.4020618556701031,268,187,508.0250524265403,300.0,0.45356951154052605,0.4703476482617587,0.8485207100591716,0.8594202898550725
4,0.0,398.0,1093,62.13663182109006,62.549271082099274,49.378038767017436,49.68544245723877,0.4126392610092111,0.30740369022133507,1.342336719224499,0.004334038309756618,0.003487231956735375,0.003910635133245997,12.863828624860503,260,207,624,469,46,34,478.6616617545939,0.4166666666666667,0.44136460554371004,0.823076923076923,0.8357487922705313,1105,897,2487,1936,174,131,2068.9303832398195,0.44431041415359873,0.46332644628099173,0.8425339366515837,0.8539576365663322,260,207,507,400,214,46,71,293,173,34,35,227,0.4567307692307692,0.44349680170575695,0.823076923076923,0.8357487922705314,0.42209072978303747,0.4325,260,207,478.6616617545939,400.0,0.44431041415359873,0.46332644628099173,0.8425339366515837,0.8539576365663322
5,0.0,497.5,1168,62.55087323488526,62.98278483555491,49.687550455588635,50.05685130300787,0.4319116006696504,0.3693008474192325,1.169538612456369,0.004334258154716565,0.0035326032569264923,0.003933430705821529,12.925933532547042,239,212,637,531,39,30,500.4918695547758,0.3751962323390895,0.3992467043314501,0.8368200836820083,0.8584905660377359,1344,1109,3124,2467,213,161,2569.4222527945954,0.43021766965428937,0.4495338467774625,0.8415178571428572,0.8548241659152389,239,212,532,457,200,39,66,332,182,30,44,275,0.4175824175824176,0.4256120527306968,0.8368200836820083,0.8584905660377359,0.37593984962406013,0.3982494529540481,239,212,500.4918695547758,500.0,0.43021766965428937,0.4495338467774625,0.8415178571428572,0.8548241659152389
6,0.0,597.0,1108,62.98554840982135,63.35351786455751,50.0608276708641,50.41854228587058,0.36796945473616205,0.35771461500647916,1.0286676565605157,0.004229770177268138,0.0035466543522099294,0.003888212264739034,12.934975578686931,225,200,618,490,32,28,463.7056881356872,0.3640776699029126,0.40816326530612246,0.8577777777777778,0.86,1569,1309,3742,2957,245,189,3033.1279409302824,0.4192944949225013,0.44267839026039907,0.8438495857233907,0.8556149732620321,225,200,529,412,193,32,57,336,172,28,50,240,0.4045307443365696,0.4530612244897959,0.8577777777777778,0.86,0.3648393194706994,0.4174757281553398,225,200,463.7056881356872,600.0,0.4192944949225013,0.44267839026039907,0.8438495857233907,0.8556149732620321
7,0.0,696.5,1119,63.35351786455751,63.76636507818621,50.42029602454619,50.72522208232205,0.4128472136287016,0.3049260577758588,1.353925658699107,0.00421529902855655,0.0034781034396820384,0.0038467012341192944,13.041142995864163,259,206,638,481,48,32,463.9154249805979,0.4059561128526646,0.4282744282744283,0.8146718146718147,0.8446601941747574,1828,1515,4380,3438,293,221,3497.0433659108803,0.41735159817351597,0.4406631762652705,0.8397155361050328,0.8541254125412541,259,206,527,411,211,48,63,316,174,32,38,237,0.42946708463949845,0.4407484407484408,0.8146718146718147,0.8446601941747572,0.40037950664136623,0.4233576642335766,259,206,463.9154249805979,700.0,0.41735159817351597,0.4406631762652705,0.8397155361050328,0.8541254125412541
8,0.0,796.0,1168,63.77127418095477,64.19424366943123,50.72522208232205,51.086544154971975,0.4229694884764612,0.36132207264992644,1.170616246537097,0.004223234889043255,0.0034949931005341917,0.0038591139947887236,13.107699514459256,280,218,648,520,48,28,481.46394610835256,0.43209876543209874,0.41923076923076924,0.8285714285714285,0.8715596330275229,2108,1733,5028,3958,341,249,3978.507312019233,0.4192521877486078,0.4378473976755937,0.8382352941176471,0.8563185227928448,280,218,540,444,232,48,60,308,190,28,48,254,0.4506172839506173,0.4576923076923077,0.8285714285714286,0.8715596330275229,0.42962962962962964,0.42792792792792794,280,218,481.46394610835256,800.0,0.4192521877486078,0.4378473976755937,0.8382352941176471,0.8563185227928448
9,0.0,895.5,1193,64.19424366943123,64.7163396724307,51.087752631060724,51.44547312534791,0.5220960029994757,0.3577204942871859,1.4595082231445355,0.004334093238037866,0.0035054705008925424,0.0039197818694652045,13.270866547082797,301,208,686,507,46,30,494.271541542105,0.4387755102040816,0.41025641025641024,0.8471760797342193,0.8557692307692308,2409,1941,5714,4465,387,279,4472.778853561338,0.4215960798039902,0.43471444568868983,0.8393524283935243,0.8562596599690881,301,208,566,430,255,46,74,311,178,30,47,252,0.47959183673469385,0.4437869822485207,0.8471760797342193,0.8557692307692307,0.450530035335689,0.413953488372093,301,208,494.271541542105,900.0,0.4215960798039902,0.43471444568868983,0.8393524283935243,0.8562596599690881
10,0.0,995.0,1164,64.71887161456175,65.17577885698354,51.4517285277733,51.847536555858134,0.45690724242179215,0.3958080280848364,1.1543657783612715,0.004360123098786914,0.003556986881313513,0.003958554990050213,13.328242301125407,269,242,611,553,43,28,487.8611202346436,0.4402618657937807,0.4376130198915009,0.8401486988847584,0.884297520661157,2678,2183,6325,5018,430,307,4960.639973795982,0.423399209486166,0.4350338780390594,0.8394324122479462,0.8593678424186899,269,242,520,481,226,43,48,294,214,28,44,267,0.44844517184942717,0.4665461121157324,0.8401486988847584,0.8842975206611571,0.4346153846153846,0.44490644490644493,269,242,487.8611202346436,1000.0,0.423399209486166,0.4350338780390594,0.8394324122479462,0.8593678424186899
