episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1111,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.0044643199285379605,0.004313985679585741,0.00438915280406185,12.540139508547227,287,237,597,514,51,32,53932.74866797131,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,597,514,51,32,53932.74866797131,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,487,442,236,51,59,251,205,32,40,237,0.49413735343383586,0.4766536964980545,0.8222996515679443,0.8649789029535865,0.48459958932238195,0.4638009049773756,287,237,53932.74866797131,100.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865
2,0.0,199.0,1133,61.26382678712119,61.871125287718876,48.72587298093149,49.246630156798986,0.6072985005976861,0.5207571758674945,1.1661836432422237,0.005277347647611243,0.004780402411271823,0.005028875029441533,12.62449513091989,374,288,626,507,67,27,55552.23016185242,0.597444089456869,0.5680473372781065,0.820855614973262,0.90625,661,525,1223,1021,118,59,109484.97882982373,0.5404742436631235,0.5142017629774731,0.8214826021180031,0.8876190476190476,374,288,522,448,307,67,37,215,261,27,32,187,0.549520766773163,0.5779092702169625,0.820855614973262,0.90625,0.5881226053639846,0.5825892857142857,374,288,55552.23016185242,200.0,0.5404742436631235,0.5142017629774731,0.8214826021180031,0.8876190476190476
3,0.0,298.5,1098,61.88750851031598,62.60061883390049,49.246630156798986,49.79118710315341,0.7131103235845089,0.544556946354426,1.3095238769030035,0.0059498769190128795,0.005002124762029302,0.00547600084052109,12.809431730747079,390,309,610,488,59,45,54484.276973683496,0.639344262295082,0.6331967213114754,0.8487179487179487,0.854368932038835,1051,834,1833,1509,177,104,163969.25580350723,0.5733769776322968,0.5526838966202783,0.8315889628924833,0.8752997601918465,390,309,514,414,331,59,37,183,264,45,29,150,0.6032786885245902,0.6004098360655737,0.8487179487179487,0.8543689320388349,0.6439688715953308,0.6376811594202898,390,309,54484.276973683496,300.0,0.5733769776322968,0.5526838966202783,0.8315889628924833,0.8752997601918465
4,0.0,398.0,1098,62.604443141403955,63.35534972824351,49.79484342941151,50.39897661945051,0.7509065868395552,0.6041331900390006,1.242948739153165,0.006349234925117209,0.005271067362264716,0.005810151143690963,12.956373108793002,406,350,600,498,62,47,55204.131953737335,0.6766666666666666,0.7028112449799196,0.8472906403940886,0.8657142857142857,1457,1184,2433,2007,239,151,219173.38775724458,0.5988491574188245,0.5899352267065272,0.8359643102264928,0.8724662162162162,406,350,510,431,344,62,28,166,303,47,20,128,0.62,0.6485943775100401,0.8472906403940886,0.8657142857142858,0.6745098039215687,0.703016241299304,406,350,55204.131953737335,400.0,0.5988491574188245,0.5899352267065272,0.8359643102264928,0.8724662162162162
5,0.0,497.5,1138,63.35534972824351,64.09341142729718,50.39897661945051,51.02549317553675,0.7380616990536737,0.6265165560862442,1.1780402159908356,0.006555511338201115,0.005469887001984261,0.006012699170092688,13.067918251760432,436,363,625,513,64,48,57757.62149808549,0.6976,0.7076023391812866,0.8532110091743119,0.8677685950413223,1893,1547,3058,2520,303,199,276931.0092553301,0.619032047089601,0.6138888888888889,0.8399366085578447,0.8713639301874596,436,363,531,444,372,64,30,159,315,48,21,129,0.6432,0.6549707602339181,0.8532110091743119,0.8677685950413223,0.7005649717514124,0.7094594594594594,436,363,57757.62149808549,500.0,0.619032047089601,0.6138888888888889,0.8399366085578447,0.8713639301874596
6,0.0,597.0,1205,64.09621396473845,64.84753656663143,51.02549317553675,51.65888588430732,0.75132260189298,0.6333927087705646,1.1861876391841026,0.006719801347391344,0.005613893682937826,0.006166847515164585,13.188650682324116,462,373,664,541,57,59,61940.10577982441,0.6957831325301205,0.6894639556377079,0.8766233766233766,0.8418230563002681,2355,1920,3722,3061,360,258,338871.1150351545,0.6327243417517464,0.6272459980398563,0.8471337579617835,0.865625,462,373,571,452,405,57,36,166,314,59,30,138,0.6641566265060241,0.6358595194085028,0.8766233766233766,0.8418230563002681,0.7092819614711033,0.6946902654867256,462,373,61940.10577982441,600.0,0.6327243417517464,0.6272459980398563,0.8471337579617835,0.865625
7,0.0,696.5,1157,64.86074336600907,65.66717446498409,51.66094842984156,52.260079090645576,0.8064310989750112,0.5991306608040148,1.3460020521947678,0.00693074100969637,0.005670756308715649,0.006300748659206009,13.40709537433851,482,351,645,512,76,52,60204.43484350834,0.7472868217054264,0.685546875,0.8423236514522822,0.8518518518518519,2837,2271,4367,3573,436,310,399075.54987866286,0.6496450652621937,0.635600335852225,0.8463165315474093,0.8634962571554381,482,351,546,434,406,76,23,140,299,52,26,135,0.6651162790697674,0.634765625,0.8423236514522822,0.8518518518518519,0.7435897435897436,0.6889400921658986,482,351,60204.43484350834,700.0,0.6496450652621937,0.635600335852225,0.8463165315474093,0.8634962571554381
8,0.0,796.0,1173,65.66958908245844,66.47426072230245,52.26109428599951,52.93382069770924,0.8046716398440026,0.6727264117097249,1.1961350496094552,0.007073256205132275,0.0058040887789557695,0.006438672492044022,13.54044002459321,455,377,629,544,67,54,61798.29090513467,0.7233704292527822,0.6930147058823529,0.8527472527472527,0.8567639257294429,3292,2648,4996,4117,503,364,460873.84078379755,0.6589271417133707,0.6431867864950207,0.8472053462940462,0.8625377643504532,455,377,539,463,388,67,23,151,323,54,27,140,0.6534181240063593,0.6433823529411765,0.8527472527472527,0.8567639257294429,0.7198515769944341,0.6976241900647948,455,377,61798.29090513467,800.0,0.6589271417133707,0.6431867864950207,0.8472053462940462,0.8625377643504532
9,0.0,895.5,1202,66.47745910803572,67.33532249206631,52.93860865372498,53.596579132198045,0.857863384030594,0.657970478473068,1.303802240522115,0.007244074148744093,0.005895588286281581,0.0065698312175128375,13.738743359868266,502,400,666,536,70,65,64079.200718923596,0.7537537537537538,0.746268656716418,0.8605577689243028,0.8375,3794,3048,5662,4653,573,429,524953.0415027211,0.6700812433768987,0.6550612508059317,0.8489720611491829,0.859251968503937,502,400,570,453,432,70,26,138,335,65,18,118,0.6876876876876877,0.6585820895522388,0.8605577689243028,0.8375,0.7578947368421053,0.739514348785872,502,400,64079.200718923596,900.0,0.6700812433768987,0.6550612508059317,0.8489720611491829,0.859251968503937
10,0.0,995.0,1288,67.33891039793619,68.29418614040466,53.60309717191048,54.328832132009204,0.9552757424684728,0.7257349600987268,1.316287343162468,0.007478530382208035,0.0060382824574645826,0.006758406419836309,13.965354008395458,557,424,724,564,96,63,69554.49969386717,0.7693370165745856,0.75177304964539,0.8276481149012567,0.8514150943396226,4351,3472,6386,5217,669,492,594507.5411965883,0.6813341684935798,0.6655165804101975,0.8462422431624914,0.8582949308755761,557,424,611,487,461,96,17,150,361,63,14,126,0.6602209944751382,0.6648936170212766,0.8276481149012568,0.8514150943396226,0.7545008183306056,0.7412731006160165,557,424,69554.49969386717,1000.0,0.6813341684935798,0.6655165804101975,0.8462422431624914,0.8582949308755761
11,0.0,1094.5,1264,68.2952550336088,69.20577252270496,54.328832132009204,55.05606857878295,0.9105174890961649,0.7272364467737447,1.2520240055837604,0.0076273788768257585,0.006150471731125752,0.006888925303975755,14.149703943922013,529,431,701,563,72,52,69173.56242680551,0.7546362339514978,0.7655417406749556,0.8638941398865785,0.8793503480278422,4880,3903,7087,5780,741,544,663681.1036233938,0.6885847326090024,0.6752595155709342,0.848155737704918,0.8606200358698437,529,431,603,482,457,72,26,146,379,52,29,103,0.6890156918687589,0.7246891651865008,0.8638941398865785,0.8793503480278422,0.75787728026534,0.7863070539419087,529,431,69173.56242680551,1100.0,0.6885847326090024,0.6752595155709342,0.848155737704918,0.8606200358698437
12,0.0,1194.0,1208,69.21957162494613,70.18161030786399,55.067273865191034,55.73286835049532,0.9620386829178642,0.6655944853042897,1.4453825927930415,0.007804962124722804,0.0062019322299589185,0.007003447177340861,14.448741957368668,536,388,708,500,83,56,67003.11810107905,0.7570621468926554,0.776,0.8451492537313433,0.8556701030927836,5416,4291,7795,6280,824,600,730684.2217244728,0.6948043617703656,0.6832802547770701,0.8478581979320532,0.8601724539734328,536,388,606,434,453,83,19,153,332,56,10,102,0.6666666666666666,0.684,0.8451492537313433,0.8556701030927835,0.7475247524752475,0.7649769585253456,536,388,67003.11810107905,1200.0,0.6948043617703656,0.6832802547770701,0.8478581979320532,0.8601724539734328
13,0.0,1293.5,1281,70.18659285963719,71.18434451463229,55.738253207840074,56.44530466637269,0.9977516549950991,0.707051458532618,1.4111443275511897,0.00797591442802743,0.006272888455252363,0.007124401441639896,14.739039848259594,574,412,748,533,87,70,71925.89783513115,0.767379679144385,0.7729831144465291,0.8484320557491289,0.8300970873786407,5990,4703,8543,6813,911,670,802610.119559604,0.7011588434976004,0.6902979597827682,0.8479131886477462,0.8575377418668935,574,412,640,448,487,87,21,153,342,70,15,106,0.679144385026738,0.6697936210131332,0.8484320557491289,0.8300970873786407,0.7609375,0.7633928571428571,574,412,71925.89783513115,1300.0,0.7011588434976004,0.6902979597827682,0.8479131886477462,0.8575377418668935
14,0.0,1393.0,1301,71.18779792416035,72.12792753409435,56.4487946017369,57.21870972446174,0.9401296099340044,0.7699151227248393,1.2210821455315124,0.008080194125641234,0.006377257178512227,0.00722872565207673,14.909217809632615,585,434,744,557,96,49,73970.03644002367,0.7862903225806451,0.7791741472172352,0.8358974358974359,0.8870967741935484,6575,5137,9287,7370,1007,719,876580.1559996277,0.7079788952298912,0.6970149253731344,0.8468441064638783,0.8600350399065603,585,434,631,492,489,96,17,142,385,49,16,107,0.6801075268817204,0.7199281867145422,0.8358974358974359,0.8870967741935484,0.7749603803486529,0.782520325203252,585,434,73970.03644002367,1400.0,0.7079788952298912,0.6970149253731344,0.8468441064638783,0.8600350399065603
15,0.0,1492.5,1269,72.13696445502048,73.10844094581117,57.21870972446174,57.93502467919531,0.9714764907906925,0.7163149547335692,1.3562141686013378,0.00819519012507636,0.006429650003100458,0.007312420064088409,15.17341626661586,576,419,730,539,83,50,73129.52205256905,0.7890410958904109,0.7773654916512059,0.8559027777777778,0.8806682577565632,7151,5556,10017,7909,1090,769,949709.6780521967,0.7138863931316761,0.7024908332279681,0.8475737659068662,0.8615910727141829,576,419,622,472,493,83,25,129,369,50,17,103,0.7095890410958904,0.7161410018552876,0.8559027777777778,0.8806682577565632,0.792604501607717,0.7817796610169492,576,419,73129.52205256905,1500.0,0.7138863931316761,0.7024908332279681,0.8475737659068662,0.8615910727141829
16,0.0,1592.0,1229,73.10844094581117,74.01182478108045,57.94173846812319,58.63998192493001,0.9033838352692811,0.6982434568068214,1.2937949170345244,0.008247605639302389,0.006468395156490869,0.007358000397896629,15.371842856150437,513,414,681,548,85,58,71687.5683241415,0.7533039647577092,0.7554744525547445,0.834307992202729,0.8599033816425121,7664,5970,10698,8457,1175,827,1021397.2463763382,0.7163955879603664,0.7059240865555162,0.8466858037578289,0.8614740368509213,513,414,578,468,428,85,18,150,356,58,22,112,0.6549192364170338,0.6897810218978102,0.834307992202729,0.8599033816425121,0.740484429065744,0.7606837606837606,513,414,71687.5683241415,1600.0,0.7163955879603664,0.7059240865555162,0.8466858037578289,0.8614740368509213
