episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1064,60.81565575819663,61.30886637877053,48.29054967454462,48.70119786536497,0.49321062057390463,0.4106481908203463,1.2010539230396327,0.004932106205739046,0.004106481908203463,0.004519294056971254,12.607668513405564,313,254,587,477,42,36,25851.72894245671,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,587,477,42,36,25851.72894245671,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,494,412,271,42,51,223,218,36,29,194,0.5485519591141397,0.5178197064989518,0.865814696485623,0.8582677165354331,0.548582995951417,0.529126213592233,313,254,25851.72894245671,100.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331
2,0.0,199.0,1149,61.314686459765205,61.76300817653191,48.703186015449795,49.12726000188509,0.4483217167667064,0.42407398643529604,1.0571780658729701,0.004736762091676425,0.004183551636702348,0.0044601568641893866,12.635748174646821,269,227,627,522,40,29,28146.792453657406,0.42902711323763953,0.43486590038314177,0.8513011152416357,0.8722466960352423,582,481,1214,999,82,65,53998.52139611411,0.4794069192751236,0.48148148148148145,0.859106529209622,0.8648648648648649,269,227,537,453,229,40,50,308,198,29,40,255,0.4449760765550239,0.4559386973180077,0.8513011152416357,0.8722466960352423,0.4264432029795158,0.4370860927152318,269,227,28146.792453657406,200.0,0.4794069192751236,0.48148148148148145,0.859106529209622,0.8648648648648649
3,0.0,298.5,1108,61.77263804395842,62.2294957503475,49.12929480475299,49.44134220855172,0.45685770638907996,0.3120474037987293,1.46406507738085,0.004712799973836255,0.003835975113356985,0.00427438754359662,12.788153541795786,242,192,643,465,30,27,27327.895586655013,0.37636080870917576,0.4129032258064516,0.8760330578512396,0.859375,824,673,1857,1464,112,92,81326.41698276912,0.4437264404954227,0.45969945355191255,0.8640776699029127,0.8632986627043091,242,192,557,395,212,30,56,345,165,27,43,230,0.416796267496112,0.44731182795698926,0.8760330578512396,0.859375,0.38061041292639136,0.4177215189873418,242,192,27327.895586655013,300.0,0.4437264404954227,0.45969945355191255,0.8640776699029127,0.8632986627043091
4,0.0,398.0,1087,62.23328611135807,62.653995980940984,49.44134220855172,49.74336631831267,0.42070986958291456,0.30202410976094995,1.3929678326538355,0.004595850556860892,0.0036320416094201137,0.0041139460831405026,12.910629662628317,270,198,628,459,40,31,26977.38888850824,0.4299363057324841,0.43137254901960786,0.8518518518518519,0.8434343434343434,1094,871,2485,1923,152,123,108303.80587127736,0.4402414486921529,0.452938117524701,0.8610603290676417,0.8587830080367393,270,198,531,390,230,40,57,301,167,31,38,223,0.4570063694267516,0.4466230936819172,0.8518518518518519,0.8434343434343434,0.4331450094161959,0.4282051282051282,270,198,26977.38888850824,400.0,0.4402414486921529,0.452938117524701,0.8610603290676417,0.8587830080367393
5,0.0,497.5,1167,62.655598133726954,63.11961654164219,49.74811335708374,50.11914289998124,0.4640184079152334,0.371029542897503,1.250623883725126,0.004607921566891122,0.0036571864508732404,0.0041325540088821815,13.000473641660946,289,240,644,523,42,46,29160.29035060373,0.44875776397515527,0.4588910133843212,0.8546712802768166,0.8083333333333333,1383,1111,3129,2446,194,169,137464.0962218811,0.4419942473633749,0.4542109566639411,0.8597252349963846,0.8478847884788479,289,240,536,429,247,42,66,289,194,46,48,235,0.4860248447204969,0.4627151051625239,0.8546712802768166,0.8083333333333333,0.4608208955223881,0.4522144522144522,289,240,29160.29035060373,500.0,0.4419942473633749,0.4542109566639411,0.8597252349963846,0.8478847884788479
6,0.0,597.0,1115,63.12197480614011,63.625515774527955,50.12101704351836,50.49621450091102,0.5035409683878456,0.37519745739266597,1.3420692450505085,0.00468310002721888,0.0036761080439440025,0.004179604035581441,13.129301273616932,309,258,627,488,50,48,28071.251759999053,0.49282296650717705,0.5286885245901639,0.8381877022653722,0.813953488372093,1692,1369,3756,2934,244,217,165535.34798188016,0.4504792332268371,0.4665985003408316,0.8557919621749409,0.8414901387874361,309,258,532,396,259,50,45,273,210,48,44,186,0.48484848484848486,0.5204918032786885,0.8381877022653722,0.813953488372093,0.4868421052631579,0.5303030303030303,309,258,28071.251759999053,600.0,0.4504792332268371,0.4665985003408316,0.8557919621749409,0.8414901387874361
7,0.0,696.5,1123,63.627186753294296,64.13159869499182,50.50058160402255,50.95692711952418,0.5044119416975263,0.4563455155016314,1.1053290205844548,0.004737061338278851,0.0038091106356850854,0.004273085986981968,13.174671575467642,339,264,632,491,61,35,28532.044162845337,0.5363924050632911,0.5376782077393075,0.8200589970501475,0.8674242424242424,2031,1633,4388,3425,305,252,194067.39214472548,0.4628532360984503,0.4767883211678832,0.8498276710979813,0.8456827924066136,339,264,517,418,278,61,54,239,229,35,38,189,0.5253164556962026,0.5437881873727087,0.8200589970501475,0.8674242424242424,0.5377176015473888,0.5478468899521531,339,264,28532.044162845337,700.0,0.4628532360984503,0.4767883211678832,0.8498276710979813,0.8456827924066136
8,0.0,796.0,1181,64.13931366652966,64.70655090075603,50.95692711952418,51.44434354495109,0.5672372342263685,0.48741642542690755,1.163763067134123,0.004863618928199251,0.003942242338008084,0.004402930633103668,13.26220735580494,356,302,651,530,61,43,30291.34398072256,0.5468509984639017,0.569811320754717,0.8286516853932584,0.8576158940397351,2387,1935,5039,3955,366,295,224358.73612544805,0.47370510021829726,0.4892541087231353,0.8466694595726854,0.8475452196382429,356,302,533,458,295,61,57,238,259,43,29,199,0.5407066052227343,0.5433962264150943,0.8286516853932584,0.8576158940397351,0.5534709193245778,0.5655021834061136,356,302,30291.34398072256,800.0,0.47370510021829726,0.4892541087231353,0.8466694595726854,0.8475452196382429
9,0.0,895.5,1209,64.7093362549128,65.39721004151704,51.448832708863364,51.927466796215334,0.6878737866042428,0.47863408735197055,1.4371600451816646,0.005090615870356016,0.00404101902407857,0.0045658174472172925,13.469743245301707,423,275,719,490,64,36,31299.67043989653,0.588317107093185,0.5612244897959183,0.8486997635933806,0.8690909090909091,2810,2210,5758,4445,430,331,255658.40656534457,0.4880166724557138,0.49718785151856015,0.8469750889679715,0.8502262443438914,423,275,614,415,359,64,41,255,239,36,39,176,0.5563282336578581,0.5673469387755102,0.8486997635933806,0.8690909090909091,0.5846905537459284,0.5759036144578313,423,275,31299.67043989653,900.0,0.4880166724557138,0.49718785151856015,0.8469750889679715,0.8502262443438914
10,0.0,995.0,1174,65.39871984437153,66.06210289085823,51.931329184075246,52.45597517223384,0.6633830464867003,0.5246459881585963,1.2644393771408482,0.005246447132661601,0.00416542549768922,0.004705936315175411,13.606127718624386,381,307,651,523,59,43,30693.226888599755,0.5852534562211982,0.5869980879541109,0.8451443569553806,0.8599348534201954,3191,2517,6409,4968,489,374,286351.63345394435,0.49789358714308,0.5066425120772947,0.8467565026637418,0.8514104092173223,381,307,551,442,322,59,41,229,264,43,38,178,0.5576036866359447,0.5774378585086042,0.8451443569553806,0.8599348534201955,0.5843920145190563,0.5972850678733032,381,307,30693.226888599755,1000.0,0.49789358714308,0.5066425120772947,0.8467565026637418,0.8514104092173223
