episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1064,60.81565575819663,61.30886637877053,48.29054967454462,48.70119786536497,0.49321062057390463,0.4106481908203463,1.2010539230396327,0.004932106205739046,0.004106481908203463,0.004519294056971254,12.607668513405564,313,254,587,477,42,36,1096.7406534375825,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,587,477,42,36,1096.7406534375825,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,494,412,271,42,51,223,218,36,29,194,0.5485519591141397,0.5178197064989518,0.865814696485623,0.8582677165354331,0.548582995951417,0.529126213592233,313,254,1096.7406534375825,100.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331
2,0.0,199.0,1144,61.314686459765205,61.76379434144468,48.703186015449795,49.098657480289674,0.449107881679474,0.39547146483987916,1.1356265157115988,0.004740692916240264,0.004040539028725263,0.004390615972482763,12.665136861155005,264,246,616,528,41,39,1132.6362826396094,0.42857142857142855,0.4659090909090909,0.8446969696969697,0.8414634146341463,577,500,1203,1005,83,75,2229.376936077192,0.4796342477140482,0.4975124378109453,0.8561525129982669,0.85,264,246,526,452,223,41,49,303,207,39,37,245,0.44155844155844154,0.4621212121212121,0.8446969696969697,0.8414634146341463,0.42395437262357416,0.4579646017699115,264,246,1132.6362826396094,200.0,0.4796342477140482,0.4975124378109453,0.8561525129982669,0.85
3,0.0,298.5,1114,61.76691134261567,62.21407554122797,49.101143115732896,49.4015476165415,0.44716419861229895,0.3004045008086038,1.4885402762230913,0.004661399276771144,0.0037033264733229267,0.004182362875047035,12.81252792468647,250,176,646,468,33,38,1050.5288031184887,0.38699690402476783,0.37606837606837606,0.868,0.7840909090909091,827,676,1849,1473,116,113,3279.905739195681,0.4472687939426717,0.4589273591310251,0.8597339782345829,0.8328402366863905,250,176,548,380,217,33,65,331,138,38,50,242,0.43653250773993807,0.4017094017094017,0.868,0.7840909090909091,0.395985401459854,0.3631578947368421,250,176,1050.5288031184887,300.0,0.4472687939426717,0.4589273591310251,0.8597339782345829,0.8328402366863905
4,0.0,398.0,1099,62.217824931186485,62.67261780069301,49.4015476165415,49.70426520592026,0.45479286950652664,0.3027175893787586,1.5023668444237388,0.004642405106240961,0.0035342888284390916,0.004088346967340026,12.968352594772753,260,178,643,456,35,19,991.7874605361023,0.40435458786936235,0.39035087719298245,0.8653846153846154,0.8932584269662921,1087,854,2492,1929,151,132,4271.693199731783,0.43619582664526485,0.4427164333851737,0.8610855565777369,0.8454332552693209,260,178,555,398,225,35,53,330,159,19,39,239,0.432348367029549,0.4342105263157895,0.8653846153846154,0.8932584269662921,0.40540540540540543,0.39949748743718594,260,178,991.7874605361023,400.0,0.43619582664526485,0.4427164333851737,0.8610855565777369,0.8454332552693209
5,0.0,497.5,1166,62.67261780069301,63.12299179339347,49.70658606940537,50.064287572041096,0.45037399270045597,0.3577015026357273,1.2590777208982082,0.004614672070393681,0.0035474757949929482,0.004081073932693314,13.058704221352372,288,228,640,526,42,37,1038.8651156039116,0.45,0.43346007604562736,0.8541666666666666,0.8377192982456141,1375,1082,3132,2455,193,169,5310.558315335695,0.4390166028097063,0.44073319755600815,0.8596363636363636,0.8438077634011091,288,228,537,444,246,42,61,291,191,37,45,253,0.4796875,0.44866920152091255,0.8541666666666666,0.8377192982456141,0.4581005586592179,0.43018018018018017,288,228,1038.8651156039116,500.0,0.4390166028097063,0.44073319755600815,0.8596363636363636,0.8438077634011091
6,0.0,597.0,1110,63.1280602279934,63.57947755477178,50.064287572041096,50.41996941842716,0.4514173267783761,0.35568184638606226,1.2691604347116472,0.004606369660958585,0.003549032906470894,0.00407770128371474,13.15950813634462,295,237,620,490,62,45,992.7321192159051,0.47580645161290325,0.48367346938775513,0.7898305084745763,0.810126582278481,1670,1319,3752,2945,255,214,6303.2904345516,0.4450959488272921,0.4478777589134126,0.8473053892215568,0.8377558756633814,295,237,506,408,233,62,52,273,192,45,37,216,0.4596774193548387,0.4673469387755102,0.7898305084745763,0.810126582278481,0.46047430830039526,0.47058823529411764,295,237,992.7321192159051,600.0,0.4450959488272921,0.4478777589134126,0.8473053892215568,0.8377558756633814
7,0.0,696.5,1125,63.57947755477178,64.07441730058541,50.42149828029016,50.82673686794603,0.49493974581363176,0.40523858765587306,1.2213539403457119,0.004655373631983975,0.003623124562002015,0.004139249096992995,13.247680432639378,303,231,644,481,57,33,1016.4302608177242,0.4704968944099379,0.4802494802494803,0.8118811881188119,0.8571428571428572,1973,1550,4396,3426,312,247,7319.720695369324,0.44881710646041856,0.45242265032107415,0.8418651799290421,0.8406451612903225,303,231,541,408,246,57,46,295,198,33,40,210,0.453416149068323,0.49480249480249483,0.8118811881188119,0.8571428571428571,0.45471349353049906,0.4852941176470588,303,231,1016.4302608177242,700.0,0.44881710646041856,0.45242265032107415,0.8418651799290421,0.8406451612903225
8,0.0,796.0,1166,64.07617167635652,64.57540796699183,50.82673686794603,51.26276802742198,0.4992362906353094,0.4360311594759452,1.1449555376623286,0.004699690260994007,0.0037152729410966944,0.0042074816010453505,13.312639939569856,320,266,642,524,47,51,1069.4745601265715,0.4984423676012461,0.5076335877862596,0.853125,0.8082706766917294,2293,1816,5038,3950,359,298,8389.195255495895,0.4551409289400556,0.45974683544303796,0.8434365460095944,0.8359030837004405,320,266,544,431,273,47,51,271,215,51,42,216,0.5046728971962616,0.4904580152671756,0.853125,0.8082706766917294,0.5018382352941176,0.4988399071925754,320,266,1069.4745601265715,800.0,0.4551409289400556,0.45974683544303796,0.8434365460095944,0.8359030837004405
9,0.0,895.5,1170,64.57931671814589,65.17775102460595,51.26436914565255,51.6581188974282,0.5984343064600637,0.3937497517756512,1.5198341173838674,0.004846772518232585,0.003741743580981757,0.004294258049607171,13.51963212717775,372,255,688,482,68,42,1088.5615992596374,0.5406976744186046,0.529045643153527,0.8172043010752688,0.8352941176470589,2665,2071,5726,4432,427,340,9477.756854755533,0.4654208871812784,0.46728339350180503,0.8397748592870544,0.8358281023660068,372,255,558,402,304,68,62,254,213,42,38,189,0.5319767441860465,0.520746887966805,0.8172043010752689,0.8352941176470589,0.5448028673835126,0.5298507462686567,372,255,1088.5615992596374,900.0,0.4654208871812784,0.46728339350180503,0.8397748592870544,0.8358281023660068
10,0.0,995.0,1174,65.18284298350802,65.67651348287953,51.660682089778554,52.15100837473286,0.493670499371504,0.49032628495430686,1.0068203857713007,0.004860857724682901,0.003860458700188239,0.00436065821243557,13.525505108146668,294,288,620,554,56,47,1109.621851333533,0.47419354838709676,0.51985559566787,0.8095238095238095,0.8368055555555556,2959,2359,6346,4986,483,387,10587.378706089066,0.4662779703750394,0.4731247492980345,0.8367691787766137,0.8359474353539635,294,288,518,462,238,56,46,280,241,47,45,221,0.45806451612903226,0.516245487364621,0.8095238095238095,0.8368055555555556,0.4594594594594595,0.5216450216450217,294,288,1109.621851333533,1000.0,0.4662779703750394,0.4731247492980345,0.8367691787766137,0.8359474353539635
