episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1111,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.0044643199285379605,0.004313985679585741,0.00438915280406185,12.540139508547227,287,237,597,514,51,32,20.299068579017263,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,597,514,51,32,20.299068579017263,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,487,442,236,51,59,251,205,32,40,237,0.49413735343383586,0.4766536964980545,0.8222996515679443,0.8649789029535865,0.48459958932238195,0.4638009049773756,287,237,20.299068579017263,100.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865
2,0.0,199.0,1133,61.26382678712119,61.871125287718876,48.72587298093149,49.246630156798986,0.6072985005976861,0.5207571758674945,1.1661836432422237,0.005277347647611243,0.004780402411271823,0.005028875029441533,12.62449513091989,374,288,626,507,67,27,20.891576638437055,0.597444089456869,0.5680473372781065,0.820855614973262,0.90625,661,525,1223,1021,118,59,41.19064521745432,0.5404742436631235,0.5142017629774731,0.8214826021180031,0.8876190476190476,374,288,522,448,307,67,37,215,261,27,32,187,0.549520766773163,0.5779092702169625,0.820855614973262,0.90625,0.5881226053639846,0.5825892857142857,374,288,20.891576638437055,200.0,0.5404742436631235,0.5142017629774731,0.8214826021180031,0.8876190476190476
3,0.0,298.5,1098,61.88750851031598,62.60061883390049,49.246630156798986,49.79118710315341,0.7131103235845089,0.544556946354426,1.3095238769030035,0.0059498769190128795,0.005002124762029302,0.00547600084052109,12.809431730747079,390,309,610,488,59,45,20.48860048220626,0.639344262295082,0.6331967213114754,0.8487179487179487,0.854368932038835,1051,834,1833,1509,177,104,61.67924569966058,0.5733769776322968,0.5526838966202783,0.8315889628924833,0.8752997601918465,390,309,514,414,331,59,37,183,264,45,29,150,0.6032786885245902,0.6004098360655737,0.8487179487179487,0.8543689320388349,0.6439688715953308,0.6376811594202898,390,309,20.48860048220626,300.0,0.5733769776322968,0.5526838966202783,0.8315889628924833,0.8752997601918465
4,0.0,398.0,1098,62.604443141403955,63.35534972824351,49.79484342941151,50.39897661945051,0.7509065868395552,0.6041331900390006,1.242948739153165,0.006349234925117209,0.005271067362264716,0.005810151143690963,12.956373108793002,406,350,600,498,62,47,20.76345756037113,0.6766666666666666,0.7028112449799196,0.8472906403940886,0.8657142857142857,1457,1184,2433,2007,239,151,82.4427032600317,0.5988491574188245,0.5899352267065272,0.8359643102264928,0.8724662162162162,406,350,510,431,344,62,28,166,303,47,20,128,0.62,0.6485943775100401,0.8472906403940886,0.8657142857142858,0.6745098039215687,0.703016241299304,406,350,20.76345756037113,400.0,0.5988491574188245,0.5899352267065272,0.8359643102264928,0.8724662162162162
5,0.0,497.5,1138,63.35534972824351,64.0906624455973,50.39897661945051,51.02558168800681,0.7353127173537928,0.6266050685563016,1.173486705187294,0.006550013374801353,0.005470064026924376,0.006010038700862865,13.065080757590493,436,363,625,513,64,47,21.71902205479055,0.6976,0.7076023391812866,0.8532110091743119,0.8705234159779615,1893,1547,3058,2520,303,198,104.16172531482226,0.619032047089601,0.6138888888888889,0.8399366085578447,0.8720103425985779,436,363,530,445,372,64,31,158,316,47,21,129,0.6448,0.6569200779727096,0.8532110091743119,0.8705234159779615,0.7018867924528301,0.7101123595505618,436,363,21.71902205479055,500.0,0.619032047089601,0.6138888888888889,0.8399366085578447,0.8720103425985779
6,0.0,597.0,1205,64.09346498303857,64.84478758493155,51.02558168800681,51.65897439677738,0.75132260189298,0.6333927087705717,1.1861876391840893,0.006715219711224876,0.005614041203721267,0.006164630457473071,13.185813188154171,462,373,664,541,57,59,23.27700489208494,0.6957831325301205,0.6894639556377079,0.8766233766233766,0.8418230563002681,2355,1920,3722,3061,360,257,127.4387302069072,0.6327243417517464,0.6272459980398563,0.8471337579617835,0.8661458333333334,462,373,571,452,405,57,36,166,314,59,30,138,0.6641566265060241,0.6358595194085028,0.8766233766233766,0.8418230563002681,0.7092819614711033,0.6946902654867256,462,373,23.27700489208494,600.0,0.6327243417517464,0.6272459980398563,0.8471337579617835,0.8661458333333334
7,0.0,696.5,1157,64.85799438430918,65.66442548328419,51.66103694231162,52.260167603115626,0.8064310989750112,0.5991306608040077,1.3460020521947837,0.006926813892982235,0.005670882755101435,0.006298848324041834,13.404257880168565,482,351,645,512,76,52,22.63620096597809,0.7472868217054264,0.685546875,0.8423236514522822,0.8518518518518519,2837,2271,4367,3573,436,309,150.07493117288527,0.6496450652621937,0.635600335852225,0.8463165315474093,0.8639365918097754,482,351,546,434,406,76,23,140,299,52,26,135,0.6651162790697674,0.634765625,0.8423236514522822,0.8518518518518519,0.7435897435897436,0.6889400921658986,482,351,22.63620096597809,700.0,0.6496450652621937,0.635600335852225,0.8463165315474093,0.8639365918097754
8,0.0,796.0,1173,65.66684010075855,66.47151174060255,52.26118279846956,52.933909210179294,0.8046716398440026,0.672726411709732,1.1961350496094425,0.007069819978007406,0.005804199419543341,0.006437009698775373,13.537602530423257,455,377,629,544,67,54,23.233859957720895,0.7233704292527822,0.6930147058823529,0.8527472527472527,0.8567639257294429,3292,2648,4996,4117,503,363,173.30879113060615,0.6589271417133707,0.6431867864950207,0.8472053462940462,0.8629154078549849,455,377,539,463,388,67,23,151,323,54,27,140,0.6534181240063593,0.6433823529411765,0.8527472527472527,0.8567639257294429,0.7198515769944341,0.6976241900647948,455,377,23.233859957720895,800.0,0.6589271417133707,0.6431867864950207,0.8472053462940462,0.8629154078549849
9,0.0,895.5,1202,66.47471012633584,67.33257351036643,52.938697166195034,53.596667644668116,0.857863384030594,0.6579704784730822,1.3038022405220868,0.007241019724633114,0.00589568663347055,0.006568353179051832,13.735905865698314,502,400,666,536,70,65,24.088924208661854,0.7537537537537538,0.746268656716418,0.8605577689243028,0.8375,3794,3048,5662,4653,573,428,197.39771533926802,0.6700812433768987,0.6550612508059317,0.8489720611491829,0.8595800524934383,502,400,570,453,432,70,26,138,335,65,18,118,0.6876876876876877,0.6585820895522388,0.8605577689243028,0.8375,0.7578947368421053,0.739514348785872,502,400,24.088924208661854,900.0,0.6700812433768987,0.6550612508059317,0.8489720611491829,0.8595800524934383
10,0.0,995.0,1288,67.3361614162363,68.29143715870478,53.60318568438054,54.32892064447926,0.955275742468487,0.7257349600987197,1.3162873431625004,0.007475781400508154,0.00603837096993464,0.006757076185221397,13.96251651422552,557,424,724,564,96,63,26.157043693078403,0.7693370165745856,0.75177304964539,0.8276481149012567,0.8514150943396226,4351,3472,6386,5217,669,491,223.55475903234642,0.6813341684935798,0.6655165804101975,0.8462422431624914,0.8585829493087558,557,424,611,487,461,96,17,150,361,63,14,126,0.6602209944751382,0.6648936170212766,0.8276481149012568,0.8514150943396226,0.7545008183306056,0.7412731006160165,557,424,26.157043693078403,1000.0,0.6813341684935798,0.6655165804101975,0.8462422431624914,0.8585829493087558
11,0.0,1094.5,1264,68.2925060519089,69.20302354100508,54.32892064447926,55.05523060701386,0.9105174890961791,0.7263099625346001,1.2536210930093137,0.00762487980255314,0.0061497099386084,0.006887294870580769,14.14779293399122,530,431,701,563,72,52,26.02174321366015,0.7560627674750356,0.7655417406749556,0.8641509433962264,0.8793503480278422,4881,3903,7087,5780,741,543,249.57650224600658,0.6887258360378157,0.6752595155709342,0.8481868469575906,0.8608762490392006,530,431,603,482,458,72,26,145,379,52,29,103,0.6904422253922967,0.7246891651865008,0.8641509433962264,0.8793503480278422,0.7595356550580431,0.7863070539419087,530,431,26.02174321366015,1100.0,0.6887258360378157,0.6752595155709342,0.8481868469575906,0.8608762490392006
12,0.0,1194.0,1226,69.21682264324625,70.20014976595004,55.06643589342193,55.75966186344998,0.9833271227037983,0.6932259700280454,1.418479926053573,0.007820411673127848,0.0062242601574211305,0.007022335915274489,14.440487902500067,521,384,717,509,82,52,25.58853402336268,0.7266387726638772,0.7544204322200393,0.8426103646833013,0.8645833333333334,5402,4287,7804,6289,823,595,275.16503626936924,0.6922091235263967,0.681666401653681,0.8476490188818956,0.861208304175414,521,384,615,441,439,82,20,176,332,52,16,109,0.6401673640167364,0.6836935166994106,0.8426103646833013,0.8645833333333334,0.7138211382113822,0.7528344671201814,521,384,25.58853402336268,1200.0,0.6922091235263967,0.681666401653681,0.8476490188818956,0.861208304175414
