episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1111,60.81565575819663,61.26208775105042,48.29054967454462,48.721948242503196,0.4464319928537961,0.4313985679585741,1.0348481103364848,0.0044643199285379605,0.004313985679585741,0.00438915280406185,12.540139508547227,287,237,597,514,51,32,0.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,597,514,51,32,0.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865,287,237,487,442,236,51,59,251,205,32,40,237,0.49413735343383586,0.4766536964980545,0.8222996515679443,0.8649789029535865,0.48459958932238195,0.4638009049773756,287,237,0.0,100.0,0.4807370184254606,0.46108949416342415,0.8222996515679443,0.8649789029535865
2,0.0,199.0,1126,61.26382678712119,61.78520379459633,48.72587298093149,49.15140095192098,0.521377007475138,0.425527970989485,1.2252473233728307,0.004847740181998504,0.004304256386881775,0.004575998284440139,12.633802842675351,299,234,626,500,34,30,0.0,0.4776357827476038,0.468,0.8862876254180602,0.8717948717948718,586,471,1223,1014,85,62,0.0,0.47914963205233035,0.46449704142011833,0.8549488054607508,0.8683651804670913,299,234,543,428,265,34,49,278,204,30,42,224,0.5015974440894568,0.492,0.8862876254180602,0.8717948717948718,0.4880294659300184,0.4766355140186916,299,234,0.0,200.0,0.47914963205233035,0.46449704142011833,0.8549488054607508,0.8683651804670913
3,0.0,298.5,1040,61.78920399970728,62.231202206218384,49.15140095192098,49.491644606094965,0.44199820651110144,0.34024365417398883,1.2990637770574816,0.0047184881600725245,0.00400364977183448,0.004361068965953502,12.739557600123419,279,228,588,452,42,28,0.0,0.4744897959183674,0.504424778761062,0.8494623655913979,0.8771929824561404,865,699,1811,1466,127,90,0.0,0.47763666482606293,0.4768076398362892,0.8531791907514451,0.8712446351931331,279,228,501,396,237,42,45,264,200,28,28,196,0.47959183673469385,0.504424778761062,0.8494623655913979,0.8771929824561403,0.47305389221556887,0.5050505050505051,279,228,0.0,300.0,0.47763666482606293,0.4768076398362892,0.8531791907514451,0.8712446351931331
4,0.0,398.0,1073,62.234509285460234,62.70509903253255,49.4986437188331,49.89288752439422,0.47058974707231727,0.3942438055611177,1.1936515943542556,0.004723608185839811,0.004005844624623993,0.004364726405231902,12.812211508138333,265,235,582,491,33,32,0.0,0.45532646048109965,0.4786150712830957,0.8754716981132076,0.8638297872340426,1130,934,2393,1957,160,122,0.0,0.4722106142916841,0.4772611139499234,0.8584070796460177,0.8693790149892934,265,235,503,422,232,33,46,271,203,32,37,219,0.47766323024054985,0.48879837067209775,0.8754716981132076,0.8638297872340426,0.46123260437375746,0.48104265402843605,265,235,0.0,400.0,0.4722106142916841,0.4772611139499234,0.8584070796460177,0.8693790149892934
5,0.0,497.5,1097,62.70947401399213,63.22667016159294,49.89443395082812,50.27049950020871,0.5171961476008136,0.37606554938058423,1.3752819114983674,0.004822028806792631,0.003959899651328172,0.0043909642290604015,12.956170661384235,297,198,629,468,40,35,0.0,0.47217806041335453,0.4230769230769231,0.8653198653198653,0.8232323232323232,1427,1132,3022,2425,200,157,0.0,0.47220383851753805,0.4668041237113402,0.8598458304134549,0.8613074204946997,297,198,529,392,257,40,60,272,163,35,41,229,0.5039745627980922,0.4358974358974359,0.8653198653198653,0.8232323232323232,0.48582230623818523,0.41581632653061223,297,198,0.0,500.0,0.47220383851753805,0.4668041237113402,0.8598458304134549,0.8613074204946997
6,0.0,597.0,1168,63.22667016159294,63.721561450567876,50.2731429039813,50.67022655670241,0.49489128897493373,0.3970836527211077,1.2463149404000304,0.004843176153952081,0.0039661281369296475,0.004404652145440864,13.051334893865466,279,247,638,530,50,33,0.0,0.4373040752351097,0.4660377358490566,0.8207885304659498,0.8663967611336032,1706,1379,3660,2955,250,190,0.0,0.46612021857923497,0.4666666666666667,0.8534583821805393,0.8622189992748368,279,247,532,452,229,50,56,303,214,33,45,238,0.44670846394984326,0.48867924528301887,0.8207885304659498,0.8663967611336032,0.43045112781954886,0.47345132743362833,279,247,0.0,600.0,0.46612021857923497,0.4666666666666667,0.8534583821805393,0.8622189992748368
7,0.0,696.5,1107,63.72416851671467,64.21019986735392,50.67144326324217,51.08863637582268,0.4860313506392515,0.41719311258051306,1.1650032945964648,0.004849348727367564,0.003997266716111513,0.004423307721739538,13.12156349153124,293,222,595,512,50,27,0.0,0.492436974789916,0.43359375,0.8293515358361775,0.8783783783783784,1999,1601,4255,3467,300,217,0.0,0.4698002350176263,0.46178252091145083,0.8499249624812406,0.8644597126795752,293,222,496,437,243,50,49,253,195,27,48,242,0.4907563025210084,0.474609375,0.8293515358361775,0.8783783783783784,0.4899193548387097,0.4462242562929062,293,222,0.0,700.0,0.4698002350176263,0.46178252091145083,0.8499249624812406,0.8644597126795752
8,0.0,796.0,1131,64.21019986735392,64.74391616700437,51.09068724346246,51.48911598668703,0.5337162996504503,0.3984287432245708,1.3395527022748606,0.004910325511009681,0.003998207890178014,0.004454266700593847,13.25480018031734,329,232,665,466,50,34,0.0,0.49473684210526314,0.4978540772532189,0.8480243161094225,0.853448275862069,2328,1833,4920,3933,350,251,0.0,0.47317073170731705,0.4660564454614798,0.8496563573883161,0.8630660120021822,329,232,566,403,279,50,49,287,198,34,29,205,0.4932330827067669,0.4871244635193133,0.8480243161094225,0.853448275862069,0.4929328621908127,0.4913151364764268,329,232,0.0,800.0,0.47317073170731705,0.4660564454614798,0.8496563573883161,0.8630660120021822
9,0.0,895.5,1151,64.74871027274597,65.22164060975226,51.48911598668703,51.90027831329104,0.4729303370062894,0.411162326604007,1.1502277966769352,0.004895538723950699,0.0040108095986071315,0.004453174161278915,13.321362296461217,252,234,610,541,35,36,0.0,0.4131147540983607,0.43253234750462105,0.8611111111111112,0.8461538461538461,2580,2067,5530,4474,385,287,0.0,0.4665461121157324,0.46200268216361196,0.8507751937984496,0.861151427189163,252,234,529,457,217,35,46,312,198,36,48,259,0.4311475409836066,0.45471349353049906,0.8611111111111112,0.8461538461538461,0.4102079395085066,0.43326039387308535,252,234,0.0,900.0,0.4665461121157324,0.46200268216361196,0.8507751937984496,0.861151427189163
10,0.0,995.0,1210,65.22413902410834,65.7591436692204,51.90027831329104,52.3567847300727,0.5350046451120676,0.45650641678165726,1.1719542714948414,0.00494348791102378,0.004066235055528076,0.004504861483275928,13.40235893914771,308,244,675,535,48,44,0.0,0.4562962962962963,0.45607476635514016,0.8441558441558441,0.819672131147541,2888,2311,6205,5009,433,331,0.0,0.4654311039484287,0.46136953483729287,0.8500692520775623,0.8567719601903938,308,244,562,452,260,48,65,302,200,44,39,252,0.48148148148148145,0.44672897196261685,0.8441558441558441,0.819672131147541,0.4626334519572954,0.4424778761061947,308,244,0.0,1000.0,0.4654311039484287,0.46136953483729287,0.8500692520775623,0.8567719601903938
