episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.4013131137613,48.29054967454462,48.75114700950556,0.5856573555646705,0.46059733496093713,1.271517030410824,0.005856573555646704,0.004605973349609371,0.005231273452628037,12.650166104255739,324,248,607,498,49,48,0.0,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,607,498,49,48,0.0,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258,324,248,514,410,275,49,44,239,200,48,40,210,0.5255354200988468,0.4819277108433735,0.8487654320987654,0.8064516129032258,0.5350194552529183,0.4878048780487805,324,248,0.0,100.0,0.5337726523887973,0.4979919678714859,0.8487654320987654,0.8064516129032258
2,0.0,199.0,1116,61.4013131137613,61.909187596222154,48.75114700950556,49.22098961168733,0.5078744824608563,0.469842602181771,1.0809460021345014,0.005467659190127634,0.004652199685713541,0.005059929437920587,12.688197984534824,293,288,606,510,54,45,0.0,0.4834983498349835,0.5647058823529412,0.8156996587030717,0.84375,617,536,1213,1008,103,93,0.0,0.5086562242374278,0.5317460317460317,0.833063209076175,0.8264925373134329,293,288,498,431,239,54,54,259,243,45,34,188,0.4834983498349835,0.5431372549019607,0.8156996587030717,0.84375,0.4799196787148594,0.5638051044083526,293,288,0.0,200.0,0.5086562242374278,0.5317460317460317,0.833063209076175,0.8264925373134329
3,0.0,298.5,1120,61.909187596222154,62.44585162823816,49.225295983478915,49.68773728858042,0.5366640320160059,0.4624413051015068,1.160501940669437,0.005433986233471776,0.004657292046786002,0.005045639140128889,12.758114339657737,324,280,616,504,61,47,0.0,0.525974025974026,0.5555555555555556,0.8117283950617284,0.8321428571428572,941,816,1829,1512,164,140,0.0,0.5144887916894478,0.5396825396825397,0.8257173219978746,0.8284313725490196,324,280,513,416,263,61,42,250,233,47,41,183,0.49512987012987014,0.5436507936507936,0.8117283950617284,0.8321428571428572,0.5126705653021443,0.5600961538461539,324,280,0.0,300.0,0.5144887916894478,0.5396825396825397,0.8257173219978746,0.8284313725490196
4,0.0,398.0,1149,62.44826521271217,63.014484235133594,49.68950580947163,50.134887951072315,0.5662190224214214,0.4453821416006818,1.2713105657682136,0.005497071192342417,0.004610845691319234,0.005053958441830826,12.879596284061279,361,277,652,497,60,38,0.0,0.553680981595092,0.5573440643863179,0.8337950138504155,0.8628158844765343,1302,1093,2481,2009,224,178,0.0,0.524788391777509,0.5440517670482827,0.8279569892473118,0.8371454711802379,361,277,547,412,301,60,45,246,239,38,47,173,0.5306748466257669,0.5754527162977867,0.8337950138504155,0.8628158844765343,0.5502742230347349,0.5800970873786407,361,277,0.0,400.0,0.524788391777509,0.5440517670482827,0.8279569892473118,0.8371454711802379
5,0.0,497.5,1083,63.021358034228044,63.61538420045019,50.13677041846307,50.57653806391174,0.5940261662221431,0.43976764544866853,1.3507727827864504,0.00559945688450712,0.004571976778734239,0.005085716831620679,13.038846136538446,332,263,612,471,41,40,0.0,0.5424836601307189,0.5583864118895966,0.8765060240963856,0.8479087452471483,1634,1356,3093,2480,265,218,0.0,0.5282896863886195,0.5467741935483871,0.8378212974296205,0.8392330383480826,332,263,535,399,291,41,36,244,223,40,32,176,0.5343137254901961,0.5414012738853503,0.8765060240963856,0.8479087452471483,0.5439252336448598,0.5588972431077694,332,263,0.0,500.0,0.5282896863886195,0.5467741935483871,0.8378212974296205,0.8392330383480826
6,0.0,597.0,1170,63.61538420045019,64.26872278065083,50.57905150264255,51.119851972612416,0.6533385802006464,0.5408004699698665,1.2080954371897097,0.005755111704090344,0.004715503830112991,0.005235307767101667,13.148870808038417,330,294,626,544,50,49,0.0,0.5271565495207667,0.5404411764705882,0.8484848484848485,0.8333333333333334,1964,1650,3719,3024,315,267,0.0,0.5280989513310029,0.5456349206349206,0.8396130346232179,0.8381818181818181,330,294,530,464,280,50,46,250,245,49,31,219,0.5207667731629393,0.5073529411764706,0.8484848484848485,0.8333333333333334,0.5283018867924528,0.5280172413793104,330,294,0.0,600.0,0.5280989513310029,0.5456349206349206,0.8396130346232179,0.8381818181818181
7,0.0,696.5,1143,64.26872278065083,64.84359805066866,51.12479024039059,51.527869228789086,0.5748752700178272,0.403078988398498,1.4262099652028635,0.005754203274960048,0.004624742220349236,0.005189472747654642,13.315728821879574,360,257,656,487,63,48,0.0,0.5487804878048781,0.5277207392197125,0.825,0.8132295719844358,2324,1907,4375,3511,378,315,0.0,0.5312,0.5431500996866989,0.8373493975903614,0.8348190875721028,360,257,553,409,297,63,40,256,209,48,30,200,0.5137195121951219,0.49075975359342916,0.825,0.8132295719844358,0.5370705244122965,0.511002444987775,360,257,0.0,700.0,0.5312,0.5431500996866989,0.8373493975903614,0.8348190875721028
8,0.0,796.0,1175,64.84529373779834,65.47078661695558,51.527869228789086,51.986509743091304,0.6254928791572354,0.45864051430221764,1.3637977013628406,0.00581891357344869,0.004619950085683353,0.005219431829566022,13.484276873864275,361,304,659,516,47,44,0.0,0.5477996965098634,0.5891472868217055,0.8698060941828255,0.8552631578947368,2685,2211,5034,4027,425,359,0.0,0.533373063170441,0.5490439533151229,0.8417132216014898,0.8376300316598824,361,304,574,429,314,47,38,260,260,44,43,169,0.5341426403641881,0.5872093023255814,0.8698060941828255,0.8552631578947368,0.5470383275261324,0.6060606060606061,361,304,0.0,800.0,0.533373063170441,0.5490439533151229,0.8417132216014898,0.8376300316598824
9,0.0,895.5,1225,65.47792436502992,66.1076418941379,51.989487971729034,52.52506892211303,0.6297175291079782,0.535580950383995,1.1757653603185292,0.0058799845954903025,0.004705021386187119,0.005292502990838711,13.58257297202487,356,289,699,526,64,39,0.0,0.5092989985693849,0.5494296577946768,0.8202247191011236,0.8650519031141868,3041,2500,5733,4553,489,398,0.0,0.5304378161521018,0.5490885130683066,0.839197632357777,0.8408,356,289,586,452,292,64,49,294,250,39,35,202,0.48783977110157367,0.5418250950570342,0.8202247191011236,0.8650519031141869,0.49829351535836175,0.5530973451327433,356,289,0.0,900.0,0.5304378161521018,0.5490885130683066,0.839197632357777,0.8408
10,0.0,995.0,1216,66.11019156839107,66.74131194919877,52.527794481497416,53.01759277575359,0.631120380807701,0.4897982942561754,1.2885311937767001,0.005925656191002148,0.00472704310120897,0.005326349646105559,13.723719173445183,355,291,679,537,61,38,0.0,0.5228276877761414,0.5418994413407822,0.828169014084507,0.8694158075601375,3396,2791,6412,5090,550,436,0.0,0.5296319401122894,0.5483300589390963,0.8380447585394581,0.8437835901110713,355,291,561,467,294,61,57,267,253,38,32,214,0.5169366715758469,0.5307262569832403,0.828169014084507,0.8694158075601375,0.5240641711229946,0.5417558886509636,355,291,0.0,1000.0,0.5296319401122894,0.5483300589390963,0.8380447585394581,0.8437835901110713
